scenario_id,basis,model,history_window_years,history_start_ay,attempted_fits,successful_fits,failed_fits,success_rate,mean_runtime_seconds,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,standard_deviation_percentage_error
short_stable_no_break,ceded,regularized_poisson,15,2010,1,1,0,1.0,1.1591062000006787,13.188939431121558,13.188939431121558,13.188939431121558,7371639.275541559,
short_stable_no_break,ceded,regularized_poisson_break_interaction,15,2010,1,1,0,1.0,1.1875752999985707,13.188939431134061,13.188939431134061,13.188939431134061,7371639.2755485475,
short_stable_no_break,ceded,regularized_tweedie,15,2010,1,1,0,1.0,5.1645547000007355,19.63618609700463,19.63618609700463,19.63618609700463,10975172.144089006,
short_stable_no_break,ceded,chain_ladder,10,2015,1,1,0,1.0,0.023174599999038037,9.7592148350773,9.7592148350773,9.7592148350773,5454677.516142473,
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,10,2015,1,1,0,1.0,0.03846220000559697,12.166274928682192,12.166274928682192,12.166274928682192,6800045.642008349,
short_stable_no_break,ceded,cashflow_uplift,10,2015,1,1,0,1.0,0.030708700003742706,9.7592148350773,9.7592148350773,9.7592148350773,5454677.516142473,
short_stable_no_break,ceded,regularized_poisson,10,2015,1,1,0,1.0,0.5944524000005913,-2.8964305646894335,-2.8964305646894335,2.8964305646894335,1618889.9358474016,
short_stable_no_break,ceded,regularized_poisson_break_interaction,10,2015,1,1,0,1.0,0.6136880999983987,-2.8964305647288113,-2.8964305647288113,2.8964305647288113,1618889.9358694106,
short_stable_no_break,ceded,regularized_tweedie,10,2015,1,1,0,1.0,2.57779180000216,-10.093589416814867,-10.093589416814867,10.093589416814867,5641568.115826562,
short_stable_no_break,ceded,chain_ladder,7,2018,1,1,0,1.0,0.01983499999914784,-3.214343660651801,-3.214343660651801,3.214343660651801,1796579.7854857445,
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,7,2018,1,1,0,1.0,0.03326039999956265,-2.379542760562898,-2.379542760562898,2.379542760562898,1329987.97691077,
short_stable_no_break,ceded,cashflow_uplift,7,2018,1,1,0,1.0,0.0275679999977001,-3.214343660651801,-3.214343660651801,3.214343660651801,1796579.7854857445,
short_stable_no_break,ceded,regularized_poisson,7,2018,1,0,1,0.0,0.23547859999962384,,,,,
short_stable_no_break,ceded,regularized_poisson_break_interaction,7,2018,1,0,1,0.0,0.24110020000080112,,,,,
short_stable_no_break,ceded,regularized_tweedie,7,2018,1,0,1,0.0,1.0604424999983166,,,,,
short_stable_no_break,ceded,chain_ladder,5,2020,1,0,1,0.0,0.009975000000849832,,,,,
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,5,2020,1,0,1,0.0,0.015876800003752578,,,,,
short_stable_no_break,ceded,cashflow_uplift,5,2020,1,0,1,0.0,0.012632500001927838,,,,,
short_stable_no_break,ceded,regularized_poisson,5,2020,1,0,1,0.0,0.003838600001472514,,,,,
short_stable_no_break,ceded,regularized_poisson_break_interaction,5,2020,1,0,1,0.0,0.007329299995035399,,,,,
short_stable_no_break,ceded,regularized_tweedie,5,2020,1,0,1,0.0,0.005161700006283354,,,,,
short_emerging_no_break,gross,chain_ladder,15,2010,1,1,0,1.0,0.023244100004376378,-10.093246785680783,-10.093246785680783,10.093246785680783,15435193.643032372,
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,15,2010,1,1,0,1.0,0.045668400001886766,-8.114083216353537,-8.114083216353537,8.114083216353537,12408538.930978715,
short_emerging_no_break,gross,cashflow_uplift,15,2010,1,1,0,1.0,0.03462990000116406,-7.453235024540453,-7.453235024540453,7.453235024540453,11397930.548376411,
short_emerging_no_break,gross,regularized_poisson,15,2010,1,1,0,1.0,1.40956510000251,-4.86017889144294,-4.86017889144294,4.86017889144294,7432474.794496,
short_emerging_no_break,gross,regularized_poisson_break_interaction,15,2010,1,1,0,1.0,1.449740700001712,-4.860178955872968,-4.860178955872968,4.860178955872968,7432474.893026233,
short_emerging_no_break,gross,regularized_tweedie,15,2010,1,1,0,1.0,5.670607799998834,-6.044392226399618,-6.044392226399618,6.044392226399618,9243444.299932957,
short_emerging_no_break,gross,chain_ladder,10,2015,1,1,0,1.0,0.023453200003132224,-7.013185680442327,-7.013185680442327,7.013185680442327,10724980.903641671,
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,10,2015,1,1,0,1.0,0.04011699999682605,-4.700016741498487,-4.700016741498487,4.700016741498487,7187545.30340457,
short_emerging_no_break,gross,cashflow_uplift,10,2015,1,1,0,1.0,0.0325102999995579,-4.258675504463867,-4.258675504463867,4.258675504463867,6512620.019109607,
short_emerging_no_break,gross,regularized_poisson,10,2015,1,1,0,1.0,0.7380782999971416,-0.5280544860140715,-0.5280544860140715,0.5280544860140715,807532.3450192809,
short_emerging_no_break,gross,regularized_poisson_break_interaction,10,2015,1,1,0,1.0,0.755983399998513,-0.5280544434042943,-0.5280544434042943,0.5280544434042943,807532.2798578739,
short_emerging_no_break,gross,regularized_tweedie,10,2015,1,1,0,1.0,2.9426202999966335,-2.133876782911095,-2.133876782911095,2.133876782911095,3263251.3653912544,
