scenario_id,simulation_id,seed,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,basis,model,history_window_years,history_start_ay,evaluation_start_ay,evaluation_end_ay,success,success_or_failure,failure_type,failure_category,failure_message,failure_reason,fit_min_accident_year,fit_max_accident_year,fit_received_pre_window_ay,future_cells_hidden_from_fit,evaluation_truth_used_for_fitting,observed_target_paid,true_target_reserve,true_target_ultimate,estimated_target_reserve,true_reserve,estimated_reserve,selected_alpha,selected_power,runtime_seconds,pipeline_reconciliation_passed,model_reconciliation_passed,target_estimate_reconciliation_passed,target_truth_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_tweedie,7,2018,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,2018,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,1.0604424999983166,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,chain_ladder,5,2020,2020,2024,False,failed,insufficient_development_history,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,ValueError: No paired observations are available for development 5 to 6.,2020,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.009975000000849832,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,inflation_adjusted_chain_ladder,5,2020,2020,2024,False,failed,insufficient_development_history,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,ValueError: No paired observations are available for development 5 to 6.,2020,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.015876800003752578,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,cashflow_uplift,5,2020,2020,2024,False,failed,insufficient_development_history,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,ValueError: No paired observations are available for development 5 to 6.,2020,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.012632500001927838,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson,5,2020,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,ValueError: Insufficient calendar-year diagonals for rolling validation.,2020,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.003838600001472514,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson_break_interaction,5,2020,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,ValueError: Insufficient calendar-year diagonals for rolling validation.,2020,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.007329299995035399,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_tweedie,5,2020,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,ValueError: Insufficient calendar-year diagonals for rolling validation.,2020,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.005161700006283354,True,False,False,True,,,,,
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,chain_ladder,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,137490757.4486438,152925951.09167618,137490757.4486438,,,0.023244100004376378,True,True,True,True,-15435193.643032372,15435193.643032372,-10.093246785680783,10.093246785680783,-0.10093246785680783
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,inflation_adjusted_chain_ladder,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,140517412.16069746,152925951.09167618,140517412.16069746,,,0.045668400001886766,True,True,True,True,-12408538.930978715,12408538.930978715,-8.114083216353537,8.114083216353537,-0.08114083216353538
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,cashflow_uplift,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,141528020.54329976,152925951.09167618,141528020.54329976,,,0.03462990000116406,True,True,True,True,-11397930.548376411,11397930.548376411,-7.453235024540453,7.453235024540453,-0.07453235024540453
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_poisson,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,145493476.29718018,152925951.09167618,145493476.29718018,0.0001,,1.40956510000251,True,True,True,True,-7432474.794496,7432474.794496,-4.86017889144294,4.86017889144294,-0.0486017889144294
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_poisson_break_interaction,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,145493476.19864994,152925951.09167618,145493476.19864994,0.0001,,1.449740700001712,True,True,True,True,-7432474.893026233,7432474.893026233,-4.860178955872968,4.860178955872968,-0.04860178955872968
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_tweedie,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,143682506.79174322,152925951.09167618,143682506.79174322,0.0001,1.1,5.670607799998834,True,True,True,True,-9243444.299932957,9243444.299932957,-6.044392226399618,6.044392226399618,-0.06044392226399618
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,chain_ladder,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,142200970.1880345,152925951.09167618,142200970.1880345,,,0.023453200003132224,True,True,True,True,-10724980.903641671,10724980.903641671,-7.013185680442327,7.013185680442327,-0.07013185680442327
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,inflation_adjusted_chain_ladder,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,145738405.7882716,152925951.09167618,145738405.7882716,,,0.04011699999682605,True,True,True,True,-7187545.30340457,7187545.30340457,-4.700016741498487,4.700016741498487,-0.047000167414984875
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,cashflow_uplift,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,146413331.07256657,152925951.09167618,146413331.07256657,,,0.0325102999995579,True,True,True,True,-6512620.019109607,6512620.019109607,-4.258675504463867,4.258675504463867,-0.04258675504463867
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_poisson,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,152118418.7466569,152925951.09167618,152118418.7466569,0.001,,0.7380782999971416,True,True,True,True,-807532.3450192809,807532.3450192809,-0.5280544860140715,0.5280544860140715,-0.005280544860140715
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_poisson_break_interaction,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,152118418.8118183,152925951.09167618,152118418.8118183,0.001,,0.755983399998513,True,True,True,True,-807532.2798578739,807532.2798578739,-0.5280544434042943,0.5280544434042943,-0.005280544434042943
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_tweedie,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,149662699.72628492,152925951.09167618,149662699.72628492,0.001,1.1,2.9426202999966335,True,True,True,True,-3263251.3653912544,3263251.3653912544,-2.133876782911095,2.133876782911095,-0.02133876782911095
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,chain_ladder,7,2018,2020,2024,True,success,,,,,2018,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,140534602.1185904,152925951.09167618,140534602.1185904,,,0.02025839999987511,True,True,True,True,-12391348.973085761,12391348.973085761,-8.10284250948185,8.10284250948185,-0.0810284250948185
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,inflation_adjusted_chain_ladder,7,2018,2020,2024,True,success,,,,,2018,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,142086923.49380165,152925951.09167618,142086923.49380165,,,0.033782200000132434,True,True,True,True,-10839027.597874522,10839027.597874522,-7.087762096948956,7.087762096948956,-0.07087762096948956
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,cashflow_uplift,7,2018,2020,2024,True,success,,,,,2018,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,144705639.6698978,152925951.09167618,144705639.6698978,,,0.028568599998834543,True,True,True,True,-8220311.421778381,8220311.421778381,-5.37535412603088,5.37535412603088,-0.0537535412603088
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_poisson,7,2018,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,ValueError: No alpha value produced enough successful rolling validation folds.,2018,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,,152925951.09167618,,,,0.2932788000034634,True,False,False,True,,,,,
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_poisson_break_interaction,7,2018,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,ValueError: No alpha value produced enough successful rolling validation folds.,2018,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,,152925951.09167618,,,,0.3049195999992662,True,False,False,True,,,,,
short_emerging_no_break,1,20260817,constant,short,emerging,False,none,gross,regularized_tweedie,7,2018,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,2018,2024,False,True,False,550749250.4644393,152925951.09167618,703675201.5561154,,152925951.09167618,,,,1.2350633000023663,True,False,False,True,,,,,
