scenario_id,model,pattern_variant,basis,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_shock_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-38.78976904397378,-39.266851363503804,38.78976904397378,207628892.1930216,4.427781050731622,0.003695918000448728
long_shock_no_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,-0.013527907367578433,-0.7928384455331263,6.03032896204903,37417688.77062617,7.232748505381646,0.0373191739997128
long_shock_no_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,-0.013527907367578433,-0.7928384455331263,6.03032896204903,37417688.77062617,7.232748505381646,0.037516805999766804
long_shock_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-38.78976904397378,-39.266851363503804,38.78976904397378,207628892.1930216,4.427781050731622,0.003754891999560641
long_stable_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-45.65480024743361,-45.576911308978,45.65480024743361,115750398.53689295,4.773594582829815,0.004859734000056051
long_stable_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,2.6006000400853826,2.7476498597275234,7.724789348114102,22037734.043616243,9.01227101522083,0.0375172019994352
long_stable_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,18.653180473582093,18.8232372644955,18.766531023786452,48854955.20012303,10.422303756781618,0.03744113400025526
long_stable_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-29.796976089153787,-29.696359309131154,29.796976089153787,77916103.11272654,6.16652024769238,0.0037204719998408108
long_stable_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-39.0002105153408,-39.416263839261944,39.0002105153408,128355236.5876696,5.082269040476361,0.003670840000413591
long_stable_no_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,2.312821408472239,1.6149896653405675,7.364594769621684,26759148.89497514,8.524312773552035,0.037099845999764514
long_stable_no_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,2.312821408472239,1.6149896653405675,7.364594769621684,26759148.89497514,8.524312773552035,0.03716519200053881
long_stable_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-39.0002105153408,-39.416263839261944,39.0002105153408,128355236.5876696,5.082269040476361,0.003709362000081455
short_emerging_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-55.42616231433485,-55.92107986345013,55.42616231433485,40189739.295613825,5.969356229401114,0.0037033740000333637
short_emerging_no_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,4.1099235507745355,2.9539578346141036,11.126378622341752,9274951.435587252,13.942466095759865,0.03214299200073583
short_emerging_no_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,4.1099235507745355,2.9539578346141036,11.126378622341752,9274951.435587252,13.942466095759865,0.03252405600054772
short_emerging_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-55.42616231433485,-55.92107986345013,55.42616231433485,40189739.295613825,5.969356229401114,0.003678838000196265
short_shock_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-56.25406514456132,-56.17513480054913,56.25406514456132,51540927.93690213,5.4425876374150235,0.005565151999908266
short_shock_no_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,2.207809907143178,2.392222415948006,9.805764945647116,10654398.47874353,12.716037832683869,0.03254833999977563
short_shock_no_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,2.207809907143178,2.392222415948006,9.805764945647116,10654398.47874353,12.716037832683869,0.032713175999815575
short_shock_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-56.25406514456132,-56.17513480054913,56.25406514456132,51540927.93690213,5.4425876374150235,0.003728067999909399
short_stable_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-54.30129061064684,-55.32187143692232,54.30129061064684,31599022.164821107,6.891181998767505,0.003712360000354238
short_stable_no_break,bornhuetter_ferguson_break_aware_ceded_specific,ceded_specific_break_aware,ceded,50,50,1.0,6.269932257423485,3.8966255115487485,13.073480251433685,8461436.992943702,16.02507935056073,0.032555668000277364
short_stable_no_break,bornhuetter_ferguson_ceded_specific,ceded_specific_standard,ceded,50,50,1.0,6.269932257423485,3.8966255115487485,13.073480251433685,8461436.992943702,16.02507935056073,0.03261594600000535
short_stable_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-54.30129061064684,-55.32187143692232,54.30129061064684,31599022.164821107,6.891181998767505,0.003754161999822827
