scenario_id,metric,paired_simulations,fixed_nominal_mean,fully_indexed_mean,difference_fully_indexed_minus_fixed,percentage_difference_relative_to_fixed
long_stable_break,ceded_ultimate,2,432984127.357724,270249025.83444786,-162735101.52327615,-37.58454207463989
long_stable_break,retained_ultimate,2,1400080936.89032,1562816038.4135962,162735101.5232761,11.623263858211113
long_stable_break,ceded_share,2,0.23596609637218088,0.14729175278616535,-0.08867434358601553,-37.57927301816811
long_stable_break,attachment_frequency,2,0.541334251141782,0.23813648791315883,-0.3031977632286232,-56.009344058521805
long_stable_break,exhaustion_frequency,2,0.021629084215370457,0.011173222165074038,-0.01045586205029642,-48.34167709637047
long_stable_break,ceded_true_reserve,2,243994133.79144287,135825877.06518796,-108168256.72625491,-44.332318587098946
long_stable_break,ceded_unpaid_proportion,2,0.5639388401735044,0.5037945598132352,-0.0601442803602692,-10.66503600669975
long_stable_no_break,ceded_ultimate,2,469965226.3764951,289542268.51715946,-180422957.85933566,-38.39070376555829
long_stable_no_break,retained_ultimate,2,1414193821.968925,1594616779.8282604,180422957.85933542,12.758007781998355
long_stable_no_break,ceded_share,2,0.2491951421692892,0.15354080448440482,-0.09565433768488438,-38.385313956041
long_stable_no_break,attachment_frequency,2,0.5843313855684934,0.25609176021996466,-0.32823962534852874,-56.17354012726629
long_stable_no_break,exhaustion_frequency,2,0.022976793110249163,0.011890582279851656,-0.011086210830397507,-48.249600269292266
long_stable_no_break,ceded_true_reserve,2,314393990.96116537,176286373.8275498,-138107617.13361558,-43.928198726506494
long_stable_no_break,ceded_unpaid_proportion,2,0.6698647832926021,0.6096382540065051,-0.060226529286097064,-8.990848718761447
short_emerging_no_break,ceded_ultimate,2,346902396.8138672,207241281.1523263,-139661115.66154093,-40.259484207737266
short_emerging_no_break,retained_ultimate,2,1308697606.0120735,1448358721.6736145,139661115.661541,10.671763669463955
short_emerging_no_break,ceded_share,2,0.20938515504041916,0.12511785136742282,-0.08426730367299634,-40.24511845490173
short_emerging_no_break,attachment_frequency,2,0.42775448881807665,0.17498849516797055,-0.2527659936501061,-59.091371395896005
short_emerging_no_break,exhaustion_frequency,2,0.018129294976158894,0.007716938593200741,-0.010412356382958152,-57.43387372013651
short_emerging_no_break,ceded_true_reserve,2,69225346.85286143,31900181.048541114,-37325165.80432032,-53.918351443807154
short_emerging_no_break,ceded_unpaid_proportion,2,0.20034116062123825,0.15458092064120427,-0.04576023998003398,-22.84115747265114
short_shock_no_break,ceded_ultimate,2,378159730.0716784,215636356.45157743,-162523373.62010098,-42.97744066754422
short_shock_no_break,retained_ultimate,2,1317534034.9734821,1480057408.593583,162523373.62010098,12.335421272314386
short_shock_no_break,ceded_share,2,0.22290622716107403,0.12712341042222028,-0.09578281673885375,-42.970004902393434
short_shock_no_break,attachment_frequency,2,0.4551659596190064,0.17853179007452039,-0.27663416954448605,-60.7765505522515
short_shock_no_break,exhaustion_frequency,2,0.0194770038710376,0.007716938593200741,-0.011760065277836858,-60.37923160925245
short_shock_no_break,ceded_true_reserve,2,89076325.33013967,36206020.38067976,-52870304.94945991,-59.353935800010866
short_shock_no_break,ceded_unpaid_proportion,2,0.2364160826171744,0.16864417853462255,-0.06777190408255185,-28.66636792738591
