scenario_id,simulation_id,seed,treaty_variant,accident_year,gross_ultimate,ceded_ultimate,retained_ultimate,gross_paid_to_date,ceded_paid_to_date,retained_paid_to_date,gross_true_reserve,ceded_true_reserve,retained_true_reserve,indexed_attachment,indexed_limit,inflation_index_value,applied_index_factor,claim_count,attaching_claims,exhausting_claims,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,ceded_share,attachment_frequency,exhaustion_frequency,ceded_unpaid_proportion
long_shock_no_break,2,20260818,fully_indexed,2015,89295346.02172999,9961452.736464437,79333893.28526554,81738669.70942567,7251075.567405973,74487594.14201969,7556676.3123043105,2710377.169058466,4846299.143245844,2433305.8048000005,6083264.512000002,1.2166529024000003,1.2166529024000003,40,10,0,long,shock,False,2000000.0,5000000.0,2010,0.11155623646993115,0.25,0.0,0.272086536046794
long_shock_no_break,2,20260818,fully_indexed,2016,146999497.50624347,26480330.169959277,120519167.33628419,118066302.18522426,12847602.779254228,105218699.40597004,28933195.321019206,13632727.390705049,15300467.930314157,2530638.036992001,6326595.092480002,1.2653190184960004,1.2653190184960004,55,21,0,long,shock,False,2000000.0,5000000.0,2010,0.1801389162492517,0.38181818181818183,0.0,0.5148246756443677
long_shock_no_break,2,20260818,fully_indexed,2017,122879260.43808374,18593981.83863779,104285278.59944595,91511780.62044883,8403255.671393113,83108524.9490557,31367479.817634914,10190726.167244677,21176753.650390238,2631863.558471681,6579658.896179202,1.3159317792358405,1.3159317792358405,46,16,0,long,shock,False,2000000.0,5000000.0,2010,0.15131912230222858,0.34782608695652173,0.0,0.5480658341866627
long_shock_no_break,2,20260818,fully_indexed,2018,148097843.9377179,30544104.02456367,117553739.91315426,94381597.28422423,11396292.42631587,82985304.85790834,53716246.65349372,19147811.5982478,34568435.05524592,2737138.1008105483,6842845.252026371,1.368569050405274,1.368569050405274,48,20,2,long,shock,False,2000000.0,5000000.0,2010,0.20624273259108955,0.4166666666666667,0.041666666666666664,0.6268905967203708
long_shock_no_break,2,20260818,fully_indexed,2019,172605297.87993038,55127387.4657276,117477910.41420276,93633860.78357804,17377551.808431633,76256308.97514638,78971437.09635234,37749835.65729597,41221601.43905637,2846623.62484297,7116559.062107426,1.4233118124214852,1.4233118124214852,45,20,3,long,shock,False,2000000.0,5000000.0,2010,0.31938409853488925,0.4444444444444444,0.06666666666666667,0.6847746173490417
long_shock_no_break,2,20260818,fully_indexed,2020,190256106.44501328,42411916.79367681,147844189.65133646,87312270.53905904,7005189.031247754,80307081.50781131,102943835.90595424,35406727.76242906,67537108.14352518,2960488.569836689,7401221.424591723,1.4802442849183446,1.4802442849183446,55,24,0,long,shock,False,2000000.0,5000000.0,2010,0.22292013426614748,0.43636363636363634,0.0,0.8348296997439136
long_shock_no_break,2,20260818,fully_indexed,2021,199322841.9875278,36245703.47424156,163077138.5132862,56781489.38078415,241932.61585586285,56539556.76492828,142541352.60674363,36003770.8583857,106537581.7483579,3138117.8840268906,7845294.710067227,1.5690589420134453,1.5690589420134453,53,25,2,long,shock,False,2000000.0,5000000.0,2010,0.1818442036688879,0.4716981132075472,0.03773584905660377,0.9933252056749899
long_shock_no_break,2,20260818,fully_indexed,2022,222624524.50075787,50040170.389868304,172584354.1108896,61090215.45228514,1892348.187101767,59197867.265183374,161534309.04847276,48147822.20276652,113386486.84570624,3326404.9570685043,8316012.39267126,1.663202478534252,1.663202478534252,56,24,3,long,shock,False,2000000.0,5000000.0,2010,0.22477384511919735,0.42857142857142855,0.05357142857142857,0.962183418394496
long_shock_no_break,2,20260818,fully_indexed,2023,181148868.06930307,41758129.236451134,139390738.83285195,22834679.976757206,0.0,22834679.976757206,158314188.09254587,41758129.23645114,116556058.8560947,3725573.551916725,9313933.879791813,1.8627867759583625,1.8627867759583625,41,19,1,long,shock,False,2000000.0,5000000.0,2010,0.23051830067453422,0.4634146341463415,0.024390243902439025,1.0000000000000002
long_shock_no_break,2,20260818,fully_indexed,2024,216800580.41404665,37215780.615905,179584799.79814163,3576393.7944760197,0.0,3576393.7944760197,213224186.6195706,37215780.615905,176008406.00366563,4098130.9071083977,10245327.267770994,2.049065453554199,2.049065453554199,50,18,0,long,shock,False,2000000.0,5000000.0,2010,0.17165904512261984,0.36,0.0,1.0
long_stable_break,2,20260818,fixed_nominal,2010,119503413.09514488,13191537.941265352,106311875.15387952,119503413.09514488,13191537.941265352,106311875.15387952,0.0,0.0,0.0,2000000.0,5000000.0,1.0,1.0,48,13,1,long,stable,True,2000000.0,5000000.0,2010,0.11038628604492377,0.2708333333333333,0.020833333333333332,0.0
long_stable_break,2,20260818,fixed_nominal,2011,83093321.15438688,7302687.717153436,75790633.43723345,83093321.15438688,7302687.717153436,75790633.43723345,0.0,0.0,0.0,2000000.0,5000000.0,1.04,1.0,47,12,0,long,stable,True,2000000.0,5000000.0,2010,0.0878853753310099,0.2553191489361702,0.0,0.0
long_stable_break,2,20260818,fixed_nominal,2012,109889895.42830361,20199666.36856288,89690229.05974075,109889895.42830361,20199666.36856288,89690229.05974075,0.0,0.0,0.0,2000000.0,5000000.0,1.0816000000000001,1.0,53,17,0,long,stable,True,2000000.0,5000000.0,2010,0.18381732269225717,0.32075471698113206,0.0,0.0
long_stable_break,2,20260818,fixed_nominal,2013,128207799.41253123,22563720.5153905,105644078.89714074,127761614.46521217,22553972.609775253,105207641.85543692,446184.9473190704,9747.905615249416,436437.041703821,2000000.0,5000000.0,1.124864,1.0,62,20,1,long,stable,True,2000000.0,5000000.0,2010,0.17599335312501346,0.3225806451612903,0.016129032258064516,0.000432016768183264
long_stable_break,2,20260818,fixed_nominal,2014,92614252.00890289,16277597.840204196,76336654.1686987,89515562.6021814,13783523.408857264,75732039.19332415,3098689.406721486,2494074.431346935,604614.9753745508,2000000.0,5000000.0,1.1698585600000002,1.0,43,17,0,long,stable,True,2000000.0,5000000.0,2010,0.17575694331191544,0.3953488372093023,0.0,0.15322128337553573
long_stable_break,2,20260818,fixed_nominal,2015,85290144.17994979,13760238.598627,71529905.58132277,79218793.43142524,10690329.905641686,68528463.52578357,6071350.748524531,3069908.692985313,3001442.055539218,2000000.0,5000000.0,1.2166529024000003,1.0,40,15,0,long,stable,True,2000000.0,5000000.0,2010,0.1613344511365217,0.375,0.0,0.2230999608750701
long_stable_break,2,20260818,fixed_nominal,2016,137831979.25146005,33964944.62094086,103867034.63051918,114677732.21695073,19636243.813177813,95041488.40377292,23154247.034509316,14328700.807763044,8825546.226746274,2000000.0,5000000.0,1.2653190184960004,1.0,55,29,0,long,stable,True,2000000.0,5000000.0,2010,0.24642281715316128,0.5272727272727272,0.0,0.42186733903663665
