scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,claim_count,attaching_claims,attachment_frequency,exhausting_claims,exhaustion_frequency,mean_ceded_per_ceded_claim,ceded_paid_to_date,ceded_true_reserve,retained_true_reserve,gross_true_reserve,ceded_unpaid_proportion,success,failure_message,runtime_seconds
long_stable_no_break,1,20260817,fixed_nominal,long,stable,False,2000000.0,5000000.0,2010,1821503694.3981314,441061752.87836605,1380441941.5197654,0.24214156371728002,697,405,0.5810616929698709,17,0.024390243902439025,1089041.365131768,139213657.60900772,301848095.2693583,451849909.8226539,753698005.0920122,0.684366969703221,True,,0.23721990000194637
long_stable_no_break,1,20260817,fully_indexed,long,stable,False,2000000.0,5000000.0,2010,1821503694.3981314,272495209.6002605,1549008484.7978706,0.14959904305343694,697,171,0.24533715925394547,10,0.014347202295552367,1593539.237428424,102700470.7468535,169794738.85340694,583903266.2386053,753698005.0920122,0.6231109130413302,True,,0.4432825000039884
long_stable_no_break,2,20260818,fixed_nominal,long,stable,False,2000000.0,5000000.0,2010,1946814402.2927084,498868699.8746242,1447945702.4180844,0.2562487206212984,742,436,0.5876010781671159,16,0.0215633423180593,1144194.2657674868,171928813.22165173,326939886.65297246,422938162.9281726,749878049.5811452,0.6553625968819833,True,,0.23791429999982938
long_stable_no_break,2,20260818,fully_indexed,long,stable,False,2000000.0,5000000.0,2010,1946814402.2927084,306589327.4340584,1640225074.8586502,0.15748256591537274,742,198,0.2668463611859838,7,0.009433962264150943,1548430.9466366586,123811318.63236576,182778008.80169263,567100040.7794523,749878049.5811452,0.59616559497168,True,,0.4443073000002187
short_emerging_no_break,1,20260817,fixed_nominal,short,emerging,False,2000000.0,5000000.0,2010,1604512269.2785308,328287267.71554595,1276225001.562985,0.2046025287567046,697,291,0.41750358680057387,14,0.020086083213773313,1128134.9406032506,257694822.27722293,70592445.43832305,82333505.65335315,152925951.0916762,0.2150325412543563,True,,0.21552119999978459
short_emerging_no_break,1,20260817,fully_indexed,short,emerging,False,2000000.0,5000000.0,2010,1604512269.2785308,197732840.04764926,1406779429.2308815,0.12323548023509964,697,119,0.17073170731707318,7,0.010043041606886656,1661620.5046020946,164352090.66176057,33380749.38588872,119545201.70578746,152925951.0916762,0.16881742748369313,True,,0.4340846999984933
short_emerging_no_break,2,20260818,fixed_nominal,short,emerging,False,2000000.0,5000000.0,2010,1706687736.3733506,365517525.9121885,1341170210.4611619,0.2141677813241337,742,325,0.4380053908355795,12,0.016172506738544475,1124669.3104990413,297659277.6447887,67858248.2673998,51035428.1579707,118893676.42537048,0.18564977998812018,True,,0.21773070000199368
short_emerging_no_break,2,20260818,fully_indexed,short,emerging,False,2000000.0,5000000.0,2010,1706687736.3733506,216749722.2570033,1489938014.1163473,0.12700022249974596,742,133,0.1792452830188679,4,0.005390835579514825,1629697.1598270924,186330109.54580978,30419612.711193506,88474063.71417698,118893676.42537048,0.1403444137987154,True,,0.4342917999965721
short_shock_no_break,1,20260817,fixed_nominal,short,shock,False,2000000.0,5000000.0,2010,1647577976.022293,361125039.40978265,1286452936.6125104,0.219185401034334,697,317,0.45480631276901007,14,0.020086083213773313,1139195.7079172954,268823078.6466661,92301960.76311661,79158036.29431303,171459997.05742967,0.25559557131228994,True,,0.21369609999965178
short_shock_no_break,1,20260817,fully_indexed,short,shock,False,2000000.0,5000000.0,2010,1647577976.022293,206912443.76857814,1440665532.2537148,0.12558582766936577,697,123,0.17647058823529413,7,0.010043041606886656,1682214.9899884402,168227851.64145014,38684592.12712801,132775404.93030164,171459997.05742967,0.1869611678377107,True,,0.4315428999980213
short_shock_no_break,2,20260818,fixed_nominal,short,shock,False,2000000.0,5000000.0,2010,1743809554.0680275,395194420.7335741,1348615133.3344536,0.22662705328781405,742,338,0.4555256064690027,14,0.018867924528301886,1169214.262525367,309343730.8364115,85850689.8971627,47418079.18812172,133268769.08528443,0.21723659392205885,True,,0.2174894999989192
short_shock_no_break,2,20260818,fully_indexed,short,shock,False,2000000.0,5000000.0,2010,1743809554.0680275,224360269.1345767,1519449284.9334514,0.1286609931750748,742,134,0.18059299191374664,4,0.005390835579514825,1674330.3666759457,190632820.5003452,33727448.63423151,99541320.45105292,133268769.08528443,0.15032718923153443,True,,0.43581149999954505
short_stable_no_break,1,20260817,fixed_nominal,short,stable,False,2000000.0,5000000.0,2010,1561874121.490872,300684717.60491925,1261189403.885953,0.1925153336415508,697,260,0.37302725968436157,14,0.020086083213773313,1156479.6830958433,244792131.89672413,55892585.70819512,81782952.50568812,137675538.21388328,0.18588435805252482,True,,0.21973979999893345
short_stable_no_break,1,20260817,fully_indexed,short,stable,False,2000000.0,5000000.0,2010,1561874121.490872,189620056.09949043,1372254065.3913817,0.1214054663499325,697,115,0.1649928263988522,7,0.010043041606886656,1648870.0530390472,160177233.55329007,29442822.54620038,108232715.66768287,137675538.21388328,0.15527272352852922,True,,0.4340768000038224
short_stable_no_break,2,20260818,fixed_nominal,short,stable,False,2000000.0,5000000.0,2010,1667403380.8894384,337522410.70469785,1329880970.1847403,0.20242396925251177,742,299,0.4029649595687331,12,0.016172506738544475,1128837.493995645,283940336.7788382,53582073.92585961,53557439.43330689,107139513.35916649,0.15875115911262902,True,,0.21621299999969779
short_stable_no_break,2,20260818,fully_indexed,short,stable,False,2000000.0,5000000.0,2010,1667403380.8894384,209095465.79793614,1458307915.0915022,0.12540184828364623,742,132,0.1778975741239892,3,0.004043126684636119,1584056.5590752738,181546329.8287494,27549135.969186734,79590377.38997975,107139513.35916649,0.13175386593896507,True,,0.43449510000209557
