scenario_id,basis,model,MPE_0_80,MPE_0_90,MPE_1_00,MPE_1_10,MPE_1_20,MAPE_0_80,MAPE_0_90,MAPE_1_00,MAPE_1_10,MAPE_1_20,change_in_MPE_0_80_vs_1_00,change_in_MPE_0_90_vs_1_00,change_in_MPE_1_00_vs_1_00,change_in_MPE_1_10_vs_1_00,change_in_MPE_1_20_vs_1_00,change_in_MAPE_0_80_vs_1_00,change_in_MAPE_0_90_vs_1_00,change_in_MAPE_1_00_vs_1_00,change_in_MAPE_1_10_vs_1_00,change_in_MAPE_1_20_vs_1_00
short_emerging_no_break,gross,expected_loss,-34.807982562557214,14.415699860218378,90.48049312757574,192.8238663590391,314.45239170036456,39.146743967610256,33.81029092304812,90.65276347656958,192.8238663590391,314.45239170036456,-125.28847569013296,-76.06479326735736,0.0,102.34337323146336,223.9718985727888,-51.50601950895932,-56.84247255352145,0.0,102.17110288246953,223.79962822379497
short_shock_no_break,ceded,bornhuetter_ferguson_break_aware,-65.00325211564905,-60.62865863010517,-56.25406514456132,-51.87947165901745,-47.50487817347358,65.00325211564905,60.62865863010517,56.25406514456132,51.87947165901745,47.50487817347358,-8.749186971087731,-4.374593485543855,0.0,4.374593485543869,8.749186971087738,8.749186971087731,4.374593485543855,0.0,-4.374593485543869,-8.749186971087738
short_shock_no_break,ceded,bornhuetter_ferguson_standard,-65.00325211564905,-60.62865863010517,-56.25406514456132,-51.87947165901745,-47.50487817347358,65.00325211564905,60.62865863010517,56.25406514456132,51.87947165901745,47.50487817347358,-8.749186971087731,-4.374593485543855,0.0,4.374593485543869,8.749186971087738,8.749186971087731,4.374593485543855,0.0,-4.374593485543869,-8.749186971087738
short_shock_no_break,ceded,expected_loss,-14.453749647766829,12.464227214819916,44.67434903490267,81.05788997787452,120.256278592751,21.85037000248672,23.28933299798229,44.8696053940665,81.05788997787452,120.256278592751,-59.128098682669496,-32.210121820082755,0.0,36.383540942971855,75.58192955784833,-23.019235391579777,-21.580272396084208,0.0,36.18828458380803,75.3866731986845
short_shock_no_break,gross,bornhuetter_ferguson_break_aware,-40.47250650429725,-33.0315698173344,-25.59063313037156,-18.149696443408708,-10.708759756445872,40.47250650429725,33.0315698173344,25.620481335820912,19.183932717953628,14.077826704704725,-14.88187337392569,-7.440936686962839,0.0,7.4409366869628535,14.88187337392569,14.852025168476338,7.411088481513488,0.0,-6.436548617867285,-11.542654631116188
short_shock_no_break,gross,bornhuetter_ferguson_standard,-40.47250650429725,-33.0315698173344,-25.59063313037156,-18.149696443408708,-10.708759756445872,40.47250650429725,33.0315698173344,25.620481335820912,19.183932717953628,14.077826704704725,-14.88187337392569,-7.440936686962839,0.0,7.4409366869628535,14.88187337392569,14.852025168476338,7.411088481513488,0.0,-6.436548617867285,-11.542654631116188
short_shock_no_break,gross,expected_loss,-35.54469309183717,10.895134229430386,81.54016477655723,175.60236349766544,286.95382517486007,39.48346463143032,31.98747123273785,81.87011859296719,175.60236349766544,286.95382517486007,-117.08485786839441,-70.64503054712685,0.0,94.0621987211082,205.41366039830285,-42.386653961536865,-49.88264736022934,0.0,93.73224490469825,205.0837065818929
short_stable_no_break,ceded,bornhuetter_ferguson_break_aware,-63.441032488517465,-58.87116154958215,-54.30129061064683,-49.73141967171152,-45.16154873277621,63.441032488517465,58.87116154958215,54.30129061064683,49.73141967171152,45.16154873277621,-9.139741877870634,-4.569870938935317,0.0,4.56987093893531,9.13974187787062,9.139741877870634,4.569870938935317,0.0,-4.56987093893531,-9.13974187787062
short_stable_no_break,ceded,bornhuetter_ferguson_standard,-63.441032488517465,-58.87116154958215,-54.30129061064683,-49.73141967171152,-45.16154873277621,63.441032488517465,58.87116154958215,54.30129061064683,49.73141967171152,45.16154873277621,-9.139741877870634,-4.569870938935317,0.0,4.56987093893531,9.13974187787062,9.139741877870634,4.569870938935317,0.0,-4.56987093893531,-9.13974187787062
short_stable_no_break,ceded,expected_loss,-2.81269329408551,30.40698397683725,71.27840229217402,118.82093374047788,171.2191306982977,25.295962222211664,36.96133024506485,71.27840229217402,118.82093374047788,171.2191306982977,-74.09109558625953,-40.87141831533677,0.0,47.54253144830386,99.94072840612368,-45.98244006996236,-34.31707204710917,0.0,47.54253144830386,99.94072840612368
short_stable_no_break,gross,bornhuetter_ferguson_break_aware,-37.93110148116993,-30.172489166316183,-22.41387685146243,-14.655264536608671,-6.896652221754917,37.93110148116993,30.172489166316183,22.760823807635088,16.525511628354206,12.19799835987645,-15.517224629707503,-7.758612314853753,0.0,7.7586123148537585,15.517224629707513,15.170277673534844,7.411665358681095,0.0,-6.235312179280882,-10.562825447758637
short_stable_no_break,gross,bornhuetter_ferguson_standard,-37.93110148116993,-30.172489166316183,-22.41387685146243,-14.655264536608671,-6.896652221754917,37.93110148116993,30.172489166316183,22.760823807635088,16.525511628354206,12.19799835987645,-15.517224629707503,-7.758612314853753,0.0,7.7586123148537585,15.517224629707513,15.170277673534844,7.411665358681095,0.0,-6.235312179280882,-10.562825447758637
short_stable_no_break,gross,expected_loss,-34.2256116281566,17.728881019824065,99.05947047989464,209.40238274328223,340.9275719459648,38.96885722625962,35.68613456494035,99.07626350120692,209.40238274328223,340.9275719459648,-133.28508210805126,-81.33058946007057,0.0,110.34291226338759,241.8681014660702,-60.1074062749473,-63.39012893626657,0.0,110.32611924207531,241.85130844475788
