scenario_id,basis,model,prior_multiplier,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_stable_break,ceded,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-51.08932022269024,-51.01922017808019,51.08932022269024,128855765.14766824,4.296235124546835,0.003749905999575276
long_stable_break,ceded,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-45.65480024743361,-45.576911308978,45.65480024743361,115750398.53689295,4.773594582829816,0.0038358200002403466
long_stable_break,ceded,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-40.22028027217697,-40.134602439875806,40.22028027217697,102698911.52423504,5.250954041112797,0.0037521420007396956
long_stable_break,ceded,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-34.78576029692032,-34.692293570773586,34.78576029692032,89724819.37697254,5.728313499395781,0.0038022999996610452
long_stable_break,ceded,bornhuetter_ferguson_standard,0.8,50,50,1.0,-43.83758087132303,-43.75708744730491,43.83758087132303,111379248.0592468,4.933216198153904,0.0038757000007899477
long_stable_break,ceded,bornhuetter_ferguson_standard,0.9,50,50,1.0,-36.81727848023841,-36.726723378218054,36.81727848023841,94563677.57746325,5.549868222923142,0.003831967999867629
long_stable_break,ceded,bornhuetter_ferguson_standard,1.0,50,50,1.0,-29.796976089153787,-29.696359309131154,29.796976089153787,77916103.11272654,6.16652024769238,0.0038754120006342417
long_stable_break,ceded,bornhuetter_ferguson_standard,1.1,50,50,1.0,-22.776673698069153,-22.665995240044268,22.776673698069153,61572939.8367421,6.783172272461618,0.003887776000337908
long_stable_break,ceded,bornhuetter_ferguson_standard,1.2,50,50,1.0,-15.756371306984551,-15.6356311709574,15.832629204525663,45860794.85325694,7.399824297230856,0.003825592000212055
long_stable_break,ceded,expected_loss,0.8,50,50,1.0,-23.069600124499804,-23.92329214372561,23.069600124499804,66339540.74981607,11.147666581453727,0.008838812000030885
long_stable_break,ceded,expected_loss,0.9,50,50,1.0,-7.2023380014398874,-7.92769465360549,12.90584877214705,38279019.101452745,13.10608059829384,0.008677892000123392
long_stable_break,ceded,expected_loss,1.0,50,50,1.0,9.609257347373315,8.923350812769366,13.493135547022145,40080444.45693109,14.83793666704875,0.008874158000398893
long_stable_break,ceded,expected_loss,1.1,50,50,1.0,27.20832846017041,26.614641906178477,27.23615635599632,73202090.61960672,16.462297142317436,0.008735636000637896
long_stable_break,ceded,expected_loss,1.2,50,50,1.0,45.35213096101919,44.8651136083119,45.35213096101919,114543048.98235765,18.137913926802955,0.008744109999970533
long_stable_break,gross,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-40.4451922751621,-40.72907658249447,40.4451922751621,244864950.86221534,4.618453018281646,0.0038018659998488146
long_stable_break,gross,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-33.000841309557366,-33.32021115530628,33.000841309557366,202092183.24210653,5.19575964556685,0.003772704000439262
long_stable_break,gross,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-25.55649034395263,-25.91134572811809,25.55649034395263,159807131.6143028,5.773066272852057,0.0038864539995847737
long_stable_break,gross,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-18.1121393783479,-18.502480300929903,18.1121393783479,118532909.02717666,6.350372900137263,0.0038309680001111703
long_stable_break,gross,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-10.667788412743164,-11.093614873741714,11.190855160774188,79852640.22261682,6.927679527422468,0.0037826799997128548
long_stable_break,gross,bornhuetter_ferguson_standard,0.8,50,50,1.0,-21.288409407974477,-21.663609769253235,21.288409407974477,135960129.3687931,6.1040543497863995,0.003871527999290265
long_stable_break,gross,bornhuetter_ferguson_standard,0.9,50,50,1.0,-11.449460583971291,-11.871560990409886,11.862948350340066,83683594.9268545,6.867061143509701,0.003850429999874905
long_stable_break,gross,bornhuetter_ferguson_standard,1.0,50,50,1.0,-1.6105117599680994,-2.0795122115665414,6.324884871111944,46735339.3955629,7.630067937232999,0.009455288000317523
long_stable_break,gross,bornhuetter_ferguson_standard,1.1,50,50,1.0,8.22843706403509,7.712536567276804,9.488444738607711,63473620.060531475,8.3930747309563,0.0037810780003201218
