scenario_id,metric,paired_simulations,fixed_nominal_mean,fully_indexed_mean,difference_fully_indexed_minus_fixed,percentage_difference_relative_to_fixed
long_shock_no_break,gross_true_reserve,50,989273625.6536003,989273625.6536003,0.0,0.0
long_shock_no_break,ceded_unpaid_proportion,50,0.7152593688146479,0.6328888889699342,-0.08237047984471368,-11.516169299707439
long_stable_break,gross_ultimate,50,1935658946.354952,1935658946.354952,0.0,0.0
long_stable_break,ceded_ultimate,50,473198572.8272748,295699435.82284784,-177499137.00442696,-37.51049711411895
long_stable_break,retained_ultimate,50,1462460373.5276775,1639959510.5321047,177499137.0044272,12.137021981407413
long_stable_break,ceded_share,50,0.24425346605410475,0.15245831768965085,-0.0917951483644539,-37.58192251983041
long_stable_break,attaching_claims,50,414.94,195.84,-219.1,-52.80281486479973
long_stable_break,attachment_frequency,50,0.5578289915718294,0.2632055967698717,-0.2946233948019577,-52.81607791157986
long_stable_break,exhausting_claims,50,17.66,8.4,-9.26,-52.43488108720272
long_stable_break,exhaustion_frequency,50,0.02371676462684795,0.011288144976411152,-0.012428619650436798,-52.4043639424886
long_stable_break,ceded_paid_to_date,50,226328664.27076653,166567377.7560877,-59761286.514678836,-26.404647730869783
long_stable_break,ceded_true_reserve,50,246869908.55650833,129132058.06676018,-117737850.48974815,-47.692264795730686
long_stable_break,retained_true_reserve,50,343222601.7721993,460960452.2619474,117737850.48974812,34.30364139244305
long_stable_break,gross_true_reserve,50,590092510.3287077,590092510.3287077,0.0,0.0
long_stable_break,ceded_unpaid_proportion,50,0.5225852460417498,0.43756341403893323,-0.0850218320028166,-16.269466588810687
long_stable_no_break,gross_ultimate,50,1987572326.0275075,1987572326.0275075,0.0,0.0
long_stable_no_break,ceded_ultimate,50,511178948.7671492,315493222.38193464,-195685726.38521457,-38.28125685871168
long_stable_no_break,retained_ultimate,50,1476393377.2603586,1672079103.6455731,195685726.38521457,13.254308059030656
long_stable_no_break,ceded_share,50,0.25698657170765116,0.15842978986549988,-0.09855678184215128,-38.350946194289804
long_stable_no_break,attaching_claims,50,442.22,206.66,-235.56000000000003,-53.26760435982091
long_stable_no_break,attachment_frequency,50,0.5944653956174691,0.27777962331184086,-0.3166857723056283,-53.2723644875389
long_stable_no_break,exhausting_claims,50,19.08,8.7,-10.379999999999999,-54.40251572327045
long_stable_no_break,exhaustion_frequency,50,0.025646097758392168,0.01169534522549463,-0.013950752532897539,-54.39717443302826
long_stable_no_break,ceded_paid_to_date,50,192400793.03242248,147334126.68285456,-45066666.34956792,-23.42332671257415
long_stable_no_break,ceded_true_reserve,50,318778155.7347268,168159095.69908008,-150619060.0356467,-47.248864869205555
long_stable_no_break,retained_true_reserve,50,435468259.2146956,586087319.2503421,150619060.03564656,34.58783891787346
long_stable_no_break,gross_true_reserve,50,754246414.9494221,754246414.9494221,0.0,0.0
long_stable_no_break,ceded_unpaid_proportion,50,0.6243082173477444,0.5339100215889419,-0.09039819575880259,-14.479738252179708
short_emerging_no_break,gross_ultimate,50,1743703986.7651832,1743703986.7651832,0.0,0.0
short_emerging_no_break,ceded_ultimate,50,375434441.6315056,221971892.79822263,-153462548.83328298,-40.87599106954303
short_emerging_no_break,retained_ultimate,50,1368269545.1336775,1521732093.9669604,153462548.83328295,11.21581265760687
short_emerging_no_break,ceded_share,50,0.2150593479221779,0.12698539586690383,-0.08807395205527407,-40.9533242364079
short_emerging_no_break,attaching_claims,50,330.14,143.66,-186.48,-56.48512752165748
short_emerging_no_break,attachment_frequency,50,0.44378766752488197,0.19304014463275584,-0.2507475228921261,-56.50168791093488
short_emerging_no_break,exhausting_claims,50,13.52,6.46,-7.06,-52.218934911242606
short_emerging_no_break,exhaustion_frequency,50,0.018157218832823716,0.008679564983279268,-0.009477653849544448,-52.19771781574399
short_emerging_no_break,ceded_paid_to_date,50,305779355.43337137,193946283.04447782,-111833072.38889354,-36.573127126386964
short_emerging_no_break,ceded_true_reserve,50,69655086.19813423,28025609.753744803,-41629476.444389425,-59.76516391922074
short_emerging_no_break,retained_true_reserve,50,58899062.845172316,100528539.28956175,41629476.44438943,70.67935283422189
