scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successful_fits,failed_fits,success_rate,accuracy_scope,conditional_accuracy_warning,mean_runtime_seconds,mean_signed_error,median_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,standard_deviation_percentage_error,standard_deviation_absolute_percentage_error,percentage_error_minimum,percentage_error_5th_percentile,percentage_error_25th_percentile,percentage_error_75th_percentile,percentage_error_95th_percentile,percentage_error_maximum,absolute_percentage_error_minimum,absolute_percentage_error_5th_percentile,absolute_percentage_error_25th_percentile,absolute_percentage_error_75th_percentile,absolute_percentage_error_95th_percentile,absolute_percentage_error_maximum,mcse_mean_signed_error,mcse_mean_percentage_error,mcse_mean_absolute_percentage_error
short_emerging_no_break,short,emerging,False,none,inflation_adjusted_chain_ladder,ceded,50,50,0,1.0,all_attempts_successful,False,0.0992650728200169,597030.603358785,-2364691.3482264057,14619188.36396731,19415710.900524408,0.6227243931925305,-3.3629886380419878,20.914821504561537,14.948517993079289,27.508543340088384,17.62835102495519,-49.82060773418611,-43.901321944048334,-17.27470283412472,13.814779419772384,55.53366362856973,61.137951749449456,0.0515737941875201,2.3597544692236174,4.845989121934468,31.358568806947805,55.53366362856973,61.137951749449456,2772361.346089969,3.890295507268107,2.493025310176528
short_emerging_no_break,short,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,2.583105944919971,1170174.4087008804,-1834046.8388518356,14527832.579565022,18901181.590314437,1.698703817875957,-2.62056178333752,20.370924758574013,17.077828449786153,25.962054029133494,15.922603095971246,-43.15178688555356,-33.60155412676853,-17.284750785536573,14.613910703231255,53.43484479350382,68.08415820361789,0.2829745480423171,2.149764471936013,9.261832132822763,27.522472518757944,53.43484479350382,68.08415820361789,2694989.1422418165,3.671588891506364,2.2517961246606366
short_shock_no_break,short,shock,False,none,cashflow_uplift,ceded,50,50,0,1.0,all_attempts_successful,False,0.0747242226199523,1793091.1266553998,-396364.61321523786,17835925.651653565,24204179.374553476,1.8318423303257634,-0.4389365659661419,20.024225722916693,15.149432959143823,26.62652167145163,17.413877110954967,-51.72369609369501,-36.7691007400591,-12.616353698675706,16.95697047919901,48.86913371156176,71.97582210422988,0.1188788505920224,0.4343312873163396,6.558043607040979,31.082716531087282,50.6367305086596,71.97582210422988,3448238.602139813,3.765558806658803,2.4626941183810924
short_shock_no_break,short,shock,False,none,chain_ladder,ceded,50,50,0,1.0,all_attempts_successful,False,0.048141672039910155,-3072739.887834138,-5501490.594024248,17853347.301943853,22908382.00228662,-3.641973626518328,-5.818067585344154,19.992746320777236,16.249501627672558,25.08098632150343,15.320681760405755,-54.16541801739254,-40.03337693293603,-17.28502480174508,10.676639232764279,40.62777089314977,62.183590113179456,0.843098058113359,2.3003152917372587,8.137562097551408,25.43987628651705,51.4950417402634,62.183590113179456,3243052.9693686264,3.5469871013564234,2.166671593036792
short_shock_no_break,short,shock,False,none,inflation_adjusted_chain_ladder,ceded,50,50,0,1.0,all_attempts_successful,False,0.10409435765999657,-296100.1446693179,-3068661.7333343253,17661039.923063997,23221832.001781188,-0.5076142538442625,-3.430589129400513,19.80317622074851,16.008529248672627,25.678721943871203,16.108709434679884,-52.55028758997496,-38.15662483116158,-17.00144585227251,14.636227206901859,47.731788055999566,63.6393149863968,0.6993956894419092,1.456771334774785,7.153196023838644,27.560412868453888,51.446618647741005,63.6393149863968,3317134.878245836,3.631519683743026,2.2781155354851723
short_shock_no_break,short,shock,False,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,2.4834421652399397,-1642027.9434327027,-3069076.1181612834,14488484.39064101,18115389.926562205,-1.7092845247194037,-3.7551832022848775,16.009741622866144,14.079449719936346,19.57660289455319,11.166108526301509,-47.68956143676999,-32.31824478069732,-15.047038658848987,12.35364403698067,32.10547719141621,40.82774047309044,1.03345357975455,1.4248441176094866,7.898021559279237,21.343499909355735,37.25776246045509,47.68956143676999,2577259.6442669276,2.768549731866951,1.5791262116825446
short_stable_no_break,short,stable,False,none,cashflow_uplift,ceded,50,50,0,1.0,all_attempts_successful,False,0.07307585731996363,1708544.0622981903,-74190.99801521748,12415813.169458173,16787300.839124795,2.9597603017510834,-0.10414121153611514,22.52907525962828,15.745653046864948,30.12333957012183,19.96088583648278,-51.49907385280744,-44.85553220455718,-17.279434719994363,13.18492880971521,61.08115596070664,68.7678113261022,0.334588102626083,0.7877397790915611,7.250682992660256,32.23500885297422,61.08115596070664,68.7678113261022,2385732.8769612038,4.2600835364036405,2.822895546693497
short_stable_no_break,short,stable,False,none,chain_ladder,ceded,50,50,0,1.0,all_attempts_successful,False,0.05092391472006051,1708544.0622981905,-74190.99801521748,12415813.169458173,16787300.83912479,2.959760301751084,-0.10414121153611514,22.529075259628275,15.745653046864948,30.12333957012183,19.960885836482777,-51.49907385280744,-44.85553220455718,-17.279434719994363,13.18492880971521,61.08115596070664,68.7678113261022,0.334588102626083,0.7877397790915611,7.250682992660256,32.23500885297422,61.08115596070664,68.7678113261022,2385732.8769612038,4.2600835364036405,2.8228955466934966
short_stable_no_break,short,stable,False,none,inflation_adjusted_chain_ladder,ceded,50,50,0,1.0,all_attempts_successful,False,0.10113876930005058,1826455.270974424,449961.04801790416,12542944.698097482,16804538.562338263,3.1931358327809023,0.9416627962500719,22.753330317147256,15.442092444056312,30.14725076282806,19.773246972301486,-51.114999028781824,-44.94116492013385,-15.94334391949011,14.35425489612097,61.0018647760381,67.33012942752447,0.1573480579191893,1.9147171171908106,6.389669206693153,34.00764093835581,61.0018647760381,67.33012942752447,2386426.6576989954,4.263465089705408,2.79635940403815
short_stable_no_break,short,stable,False,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,2.4749802757799806,3623856.87553941,3530103.44175528,10541738.369693121,13192980.51539839,8.60982362635468,6.125058162762934,19.759507094973454,15.787298072019848,24.072571931366465,16.02262072004431,-36.036359352990736,-28.414433230540247,-6.890793638791058,21.44827478669633,45.63026468878761,70.85030540070656,1.030225189254931,2.1454991667679506,6.479644320709543,28.210602460065232,45.63026468878761,70.85030540070656,1812217.0221057811,3.4043757706540343,2.2659407527046826
long_emerging_break,long,emerging,True,none,cashflow_uplift,gross,50,50,0,1.0,all_attempts_successful,False,0.11136249987996048,503091653.35214394,496531174.9336051,503091653.35214394,509813479.3648837,74.62075033106396,75.31462075202248,74.62075033106396,75.31462075202248,10.981863550399448,10.981863550399448,49.844410791181474,57.41944399149349,66.62671814474925,81.30243621352284,92.4834968361007,96.75848253228772,49.844410791181474,57.41944399149349,66.62671814474925,81.30243621352284,92.4834968361007,96.75848253228772,11787724.564082442,1.5530700373105648,1.5530700373105648
long_emerging_break,long,emerging,True,none,chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False,0.06736697282000019,412703694.5154707,403608587.89805305,412703694.5154707,419136007.4604766,61.22323360876472,62.10313341408397,61.22323360876472,62.10313341408397,9.972387770115128,9.972387770115128,38.801684396776,45.39814000352828,53.99612108110053,67.229001333754,77.65278371952928,81.1952095576782,38.801684396776,45.39814000352828,53.99612108110053,67.229001333754,77.65278371952928,81.1952095576782,10449737.115324141,1.4103086033740402,1.4103086033740402
long_emerging_break,long,emerging,True,none,inflation_adjusted_chain_ladder,gross,50,50,0,1.0,all_attempts_successful,False,0.14620033070001223,504417170.7158868,494701727.33538646,504417170.7158868,511148038.4803272,74.84929170986686,76.20320606139694,74.84929170986686,76.20320606139694,11.224122205517258,11.224122205517258,50.739236774228544,57.22412377848308,67.2985607624633,81.76773415138254,92.37896123195799,97.1534697217598,50.739236774228544,57.22412377848308,67.2985607624633,81.76773415138254,92.37896123195799,97.1534697217598,11811128.554889336,1.587330584877552,1.587330584877552
long_emerging_break,long,emerging,True,none,regularized_poisson,gross,50,50,0,1.0,all_attempts_successful,False,3.8617303303401243,291662407.0221685,274291661.4059725,291662407.0221685,307189021.22647053,43.359985449352834,42.47294631618461,43.359985449352834,42.47294631618461,14.307196917825456,14.307196917825456,17.550837214363554,22.914002998291423,32.739265927963466,53.79370183813557,64.45636489706258,77.1759327224662,17.550837214363554,22.914002998291423,32.739265927963466,53.79370183813557,64.45636489706258,77.1759327224662,13775262.575453542,2.0233431920731304,2.0233431920731304
