scenario_id,basis,model,break_period,rows,mean_bf_reserve_error,mean_prior_error_component,mean_development_error_component,median_bf_reserve_error,mean_absolute_bf_reserve_error,max_absolute_decomposition_residual
long_shock_break,gross,bornhuetter_ferguson_break_aware,post_break,350,-24119078.92068254,1335551.752501287,-25454630.67318382,-22010054.22957363,28492852.001492124,3.725290298461914e-08
long_shock_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,-6201312.4360297145,54918.51413899232,-6256230.950168707,-2572353.681123602,6201312.4360297145,2.2351741790771484e-08
long_shock_break,gross,bornhuetter_ferguson_standard,post_break,350,-657104.7377247367,1538991.6807760375,-2196096.418500772,3801214.2298283353,16681249.65113214,2.9802322387695312e-08
long_shock_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,400,-6201312.4360297145,54918.51413899232,-6256230.950168707,-2572353.681123602,6201312.4360297145,2.2351741790771484e-08
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-13616517.810650157,343711.69401144335,-13960229.504661601,-9807774.759657722,14664788.635029368,1.4901161193847656e-08
long_shock_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-13616517.810650157,343711.69401144335,-13960229.504661601,-9807774.759657722,14664788.635029368,1.4901161193847656e-08
long_shock_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-15140239.091485009,804913.3107524349,-15945152.402237445,-11321956.40592858,18205620.189204708,3.725290298461914e-08
long_shock_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-15140239.091485009,804913.3107524349,-15945152.402237445,-11321956.40592858,18205620.189204708,3.725290298461914e-08
long_stable_break,ceded,bornhuetter_ferguson_break_aware,post_break,350,-12622304.25397352,362318.9811296589,-12984623.235103179,-11651453.76468561,13773881.304552427,1.4901161193847656e-08
long_stable_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,-3170785.269106068,16233.628842543996,-3187018.897948612,-920047.3093844166,3170785.269106068,7.450580596923828e-09
long_stable_break,ceded,bornhuetter_ferguson_standard,post_break,350,-7071992.547587722,383569.59003609256,-7455562.137623816,-5968974.928921579,8892798.13695526,7.450580596923828e-09
long_stable_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,400,-3170785.269106068,16233.628842543996,-3187018.897948612,-920047.3093844166,3170785.269106068,7.450580596923828e-09
