scenario_id,model,basis,history_window_years,scheduled_fits,successful_fits,conditional_mpe_pct,conditional_mape_pct
short_shock_no_break,regularized_poisson,gross,10.0,50.0,50.0,2.3596104726184994,11.00524504464965
short_shock_no_break,regularized_poisson_break_interaction,gross,10.0,50.0,50.0,2.359609298354435,11.00524717472045
short_shock_no_break,regularized_tweedie,gross,10.0,50.0,50.0,2.2696417645856712,13.202063270041704
short_shock_no_break,chain_ladder,gross,7.0,50.0,50.0,-0.8160635737255433,9.894023422186542
short_shock_no_break,inflation_adjusted_chain_ladder,gross,7.0,50.0,50.0,0.2096961520767669,10.016481892240504
short_shock_no_break,cashflow_uplift,gross,7.0,50.0,50.0,4.45121492579543,11.099879282310392
short_shock_no_break,regularized_poisson,gross,7.0,50.0,0.0,,
short_shock_no_break,regularized_poisson_break_interaction,gross,7.0,50.0,0.0,,
short_shock_no_break,regularized_tweedie,gross,7.0,50.0,0.0,,
short_shock_no_break,chain_ladder,gross,5.0,50.0,0.0,,
short_shock_no_break,inflation_adjusted_chain_ladder,gross,5.0,50.0,0.0,,
short_shock_no_break,cashflow_uplift,gross,5.0,50.0,0.0,,
short_shock_no_break,regularized_poisson,gross,5.0,50.0,0.0,,
short_shock_no_break,regularized_poisson_break_interaction,gross,5.0,50.0,0.0,,
short_shock_no_break,regularized_tweedie,gross,5.0,50.0,0.0,,
short_shock_no_break,chain_ladder,ceded,15.0,50.0,50.0,-3.6419736265183342,19.992746320777236
short_shock_no_break,inflation_adjusted_chain_ladder,ceded,15.0,50.0,50.0,-0.5076142538442591,19.803176220748515
short_shock_no_break,cashflow_uplift,ceded,15.0,50.0,50.0,1.831842330325756,20.024225722916686
short_shock_no_break,regularized_poisson,ceded,15.0,50.0,50.0,-1.7092845070600986,16.009741622204032
short_shock_no_break,regularized_poisson_break_interaction,ceded,15.0,50.0,50.0,-1.7092844810392065,16.009741615577937
short_shock_no_break,regularized_tweedie,ceded,15.0,50.0,50.0,-2.144673196306415,18.227178466586334
short_shock_no_break,chain_ladder,ceded,10.0,50.0,50.0,-1.5561737684092674,21.589645621003896
short_shock_no_break,inflation_adjusted_chain_ladder,ceded,10.0,50.0,50.0,0.27247394619521503,21.47080387591053
short_shock_no_break,cashflow_uplift,ceded,10.0,50.0,50.0,4.072823069125283,22.315153843853665
short_shock_no_break,regularized_poisson,ceded,10.0,50.0,50.0,-0.3538904356154792,15.118691878088061
short_shock_no_break,regularized_poisson_break_interaction,ceded,10.0,50.0,50.0,-0.35389016196646117,15.118691586176256
short_shock_no_break,regularized_tweedie,ceded,10.0,50.0,50.0,-1.1896853895165802,16.490194371977122
short_shock_no_break,chain_ladder,ceded,7.0,50.0,50.0,1.4814810166316528,23.86450667384054
short_shock_no_break,inflation_adjusted_chain_ladder,ceded,7.0,50.0,50.0,1.154669146081463,24.036407347499292
short_shock_no_break,cashflow_uplift,ceded,7.0,50.0,50.0,7.304074694798488,25.26467788731062
short_shock_no_break,regularized_poisson,ceded,7.0,50.0,0.0,,
short_shock_no_break,regularized_poisson_break_interaction,ceded,7.0,50.0,0.0,,
short_shock_no_break,regularized_tweedie,ceded,7.0,50.0,0.0,,
short_shock_no_break,chain_ladder,ceded,5.0,50.0,0.0,,
short_shock_no_break,inflation_adjusted_chain_ladder,ceded,5.0,50.0,0.0,,
short_shock_no_break,cashflow_uplift,ceded,5.0,50.0,0.0,,
short_shock_no_break,regularized_poisson,ceded,5.0,50.0,0.0,,
short_shock_no_break,regularized_poisson_break_interaction,ceded,5.0,50.0,0.0,,
short_shock_no_break,regularized_tweedie,ceded,5.0,50.0,0.0,,
long_stable_no_break,chain_ladder,gross,15.0,50.0,50.0,0.253826637503934,5.237803703613991
long_stable_no_break,inflation_adjusted_chain_ladder,gross,15.0,50.0,50.0,0.4447558387332859,5.439041073360536
long_stable_no_break,cashflow_uplift,gross,15.0,50.0,50.0,0.2538266375039315,5.2378037036139915
long_stable_no_break,regularized_poisson,gross,15.0,50.0,50.0,2.9341149221857092,10.963249864557325
long_stable_no_break,regularized_poisson_break_interaction,gross,15.0,50.0,50.0,2.934117003739004,10.963247871164219
long_stable_no_break,regularized_tweedie,gross,15.0,50.0,50.0,2.1548115289627328,10.7937541710842
long_stable_no_break,chain_ladder,gross,10.0,50.0,0.0,,
long_stable_no_break,inflation_adjusted_chain_ladder,gross,10.0,50.0,0.0,,
long_stable_no_break,cashflow_uplift,gross,10.0,50.0,0.0,,
