analysis_type,comparison_id,experiment_step,source_file,analysis_family,scenario_id,basis,model_a,model_b,sensitivity_a,sensitivity_b,required_pairs,valid_pairs,excluded_pairs,mean_ape_a,mean_ape_b,mean_paired_difference,median_paired_difference,std_paired_difference,win_rate_a,win_rate_b,tie_rate,bootstrap_ci_lower,bootstrap_ci_upper,inference_direction,group_type,pool_label
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,55.45047988190001,57.75512477621739,-2.304644894317391,-0.8108375016365841,5.871823123947816,0.56,0.44,0.0,-3.981727934342104,-0.765286137320082,favors_A,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_no_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,33.910848948269944,35.63894820833223,-1.7280992600622884,0.9644284422995152,12.874748518777563,0.32,0.68,0.0,-5.497672339720256,1.541967109536723,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_no_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,7.968911109520853,8.233082501770161,-0.2641713922493061,0.1088608801622674,2.2730129317586525,0.46,0.54,0.0,-0.9091293840834932,0.3228994674397633,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_emerging_no_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,19.84516767596454,20.370924755569856,-0.5257570796053175,0.5132017573672734,8.491878558126515,0.48,0.52,0.0,-2.974454933034032,1.7854418003180572,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_emerging_no_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,14.780852816465035,13.414933073702468,1.365919742762564,0.4687730749859236,8.361238893547927,0.42,0.58,0.0,-0.8434368525929494,3.793767775373437,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_shock_no_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,18.22717846658633,16.009741622204032,2.217436844382299,0.7531713003264119,7.334203988585349,0.42,0.58,0.0,0.3233170744376541,4.3427340139776245,favors_B,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_shock_no_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,13.948839022728482,12.172738798237509,1.7761002244909716,0.2250441623958474,8.628958367634281,0.48,0.52,0.0,-0.3993734100111271,4.313119716997203,includes_zero,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_stable_no_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,23.82365646011052,19.759507104152306,4.064149355958214,1.5383196525540734,12.119671345075393,0.26,0.74,0.0,1.3092454227721917,7.845030451028367,favors_B,scenario_basis,
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_stable_no_break,gross,regularized_tweedie,regularized_poisson,,,50,50,0,12.984374173678656,11.824110423023251,1.1602637506554072,0.3410267792430097,4.364734720930026,0.32,0.68,0.0,-0.0730491675245455,2.342289463645185,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,45.14987093013515,30.132740820250845,15.017130109884295,15.01734665028241,1.216477670597231,0.0,1.0,0.0,14.68276537378012,15.352753528539637,favors_B,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,27.011992978673963,7.065145290390937,19.94684768828302,21.51294021382272,5.024329609249331,0.02,0.98,0.0,18.463198920970736,21.19729534205684,favors_B,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,38.47504950183036,38.47504950183036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,21.152436218385105,21.152436218385105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,45.33903085717448,30.83882777799601,14.500203079178457,14.431298651447214,1.1098986740460923,0.0,1.0,0.0,14.20598604912803,14.807154287409038,favors_B,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,28.3737380274322,8.185151420696798,20.18858660673541,20.987950861746626,3.684588328533642,0.0,1.0,0.0,19.0912595385723,21.08139786869609,favors_B,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,38.78976904397377,38.78976904397377,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_no_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,22.570105134322954,22.570105134322954,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,45.65480024743361,29.796976089153787,15.857824158279827,15.88055199984685,1.3929256648625647,0.0,1.0,0.0,15.480913633481803,16.237570110569404,favors_B,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,25.55649034395263,6.324884871111945,19.23160547284069,22.09044180840459,6.801030356990387,0.04,0.96,0.0,17.2472777192381,20.945151940843424,favors_B,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,39.0002105153408,39.0002105153408,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_no_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,19.420490843638746,19.420490843638746,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
