scenario_id,model,basis,prior_multiplier,successful_fits,conditional_mpe_pct,conditional_mape_pct
long_shock_no_break,bornhuetter_ferguson_break_aware,ceded,1.1,50.0,-32.668745948371146,32.668745948371146
long_shock_no_break,bornhuetter_ferguson_break_aware,ceded,1.2,50.0,-26.547722852768533,26.547722852768533
long_shock_no_break,bornhuetter_ferguson_standard,ceded,0.8,50.0,-51.03181523517903,51.03181523517903
long_shock_no_break,bornhuetter_ferguson_standard,ceded,0.9,50.0,-44.91079213957641,44.91079213957641
long_shock_no_break,bornhuetter_ferguson_standard,ceded,1.0,50.0,-38.78976904397377,38.78976904397377
long_shock_no_break,bornhuetter_ferguson_standard,ceded,1.1,50.0,-32.668745948371146,32.668745948371146
long_shock_no_break,bornhuetter_ferguson_standard,ceded,1.2,50.0,-26.547722852768533,26.547722852768533
long_shock_no_break,expected_loss,ceded,0.8,50.0,-21.007174599674673,21.007174599674673
long_shock_no_break,expected_loss,ceded,0.9,50.0,-8.170598589280821,10.006277277072783
long_shock_no_break,expected_loss,ceded,1.0,50.0,5.019568869015677,8.580187778594057
long_shock_no_break,expected_loss,ceded,1.1,50.0,18.478619583671914,18.478619583671914
long_shock_no_break,expected_loss,ceded,1.2,50.0,32.16983827349259,32.16983827349259
long_shock_no_break,bornhuetter_ferguson_break_aware,gross,0.8,50.0,-38.056084107458354,38.056084107458354
long_shock_no_break,bornhuetter_ferguson_break_aware,gross,0.9,50.0,-30.31309462089064,30.31309462089064
long_shock_no_break,bornhuetter_ferguson_break_aware,gross,1.0,50.0,-22.57010513432293,22.57010513432293
long_shock_no_break,bornhuetter_ferguson_break_aware,gross,1.1,50.0,-14.827115647755226,14.827115647755226
long_shock_no_break,bornhuetter_ferguson_break_aware,gross,1.2,50.0,-7.084126161187532,8.081851162626181
long_shock_no_break,bornhuetter_ferguson_standard,gross,0.8,50.0,-38.056084107458354,38.056084107458354
long_shock_no_break,bornhuetter_ferguson_standard,gross,0.9,50.0,-30.31309462089064,30.31309462089064
long_shock_no_break,bornhuetter_ferguson_standard,gross,1.0,50.0,-22.57010513432293,22.57010513432293
long_shock_no_break,bornhuetter_ferguson_standard,gross,1.1,50.0,-14.827115647755226,14.827115647755226
long_shock_no_break,bornhuetter_ferguson_standard,gross,1.2,50.0,-7.084126161187532,8.081851162626181
long_shock_no_break,expected_loss,gross,0.8,50.0,-30.09302038651259,30.09302038651259
long_shock_no_break,expected_loss,gross,0.9,50.0,-12.424939369626301,13.439103394752449
long_shock_no_break,expected_loss,gross,1.0,50.0,7.165853902591005,11.098094737026477
long_shock_no_break,expected_loss,gross,1.1,50.0,28.241421398338208,28.241421398338208
long_shock_no_break,expected_loss,gross,1.2,50.0,50.73510033714592,50.73510033714592
long_stable_break,bornhuetter_ferguson_break_aware,ceded,0.8,50.0,-56.523840197946875,56.523840197946875
long_stable_break,bornhuetter_ferguson_break_aware,ceded,0.9,50.0,-51.08932022269024,51.08932022269024
long_stable_break,bornhuetter_ferguson_break_aware,ceded,1.0,50.0,-45.65480024743361,45.65480024743361
long_stable_break,bornhuetter_ferguson_break_aware,ceded,1.1,50.0,-40.22028027217697,40.22028027217697
long_stable_break,bornhuetter_ferguson_break_aware,ceded,1.2,50.0,-34.78576029692032,34.78576029692032
long_stable_break,bornhuetter_ferguson_standard,ceded,0.8,50.0,-43.83758087132303,43.83758087132303
long_stable_break,bornhuetter_ferguson_standard,ceded,0.9,50.0,-36.81727848023841,36.81727848023841
long_stable_break,bornhuetter_ferguson_standard,ceded,1.0,50.0,-29.796976089153787,29.796976089153787
long_stable_break,bornhuetter_ferguson_standard,ceded,1.1,50.0,-22.776673698069157,22.776673698069157
long_stable_break,bornhuetter_ferguson_standard,ceded,1.2,50.0,-15.756371306984551,15.832629204525663
long_stable_break,expected_loss,ceded,0.8,50.0,-23.069600124499804,23.069600124499804
long_stable_break,expected_loss,ceded,0.9,50.0,-7.2023380014398874,12.90584877214705
long_stable_break,expected_loss,ceded,1.0,50.0,9.609257347373315,13.493135547022145
long_stable_break,expected_loss,ceded,1.1,50.0,27.20832846017041,27.23615635599632
long_stable_break,expected_loss,ceded,1.2,50.0,45.35213096101919,45.35213096101919
long_stable_break,bornhuetter_ferguson_break_aware,gross,0.8,50.0,-40.4451922751621,40.4451922751621
long_stable_break,bornhuetter_ferguson_break_aware,gross,0.9,50.0,-33.000841309557366,33.000841309557366
long_stable_break,bornhuetter_ferguson_break_aware,gross,1.0,50.0,-25.55649034395263,25.55649034395263
long_stable_break,bornhuetter_ferguson_break_aware,gross,1.1,50.0,-18.1121393783479,18.1121393783479
long_stable_break,bornhuetter_ferguson_break_aware,gross,1.2,50.0,-10.667788412743164,11.190855160774188
long_stable_break,bornhuetter_ferguson_standard,gross,0.8,50.0,-21.288409407974477,21.288409407974477
long_stable_break,bornhuetter_ferguson_standard,gross,0.9,50.0,-11.449460583971291,11.862948350340066
long_stable_break,bornhuetter_ferguson_standard,gross,1.0,50.0,-1.6105117599680994,6.324884871111945
long_stable_break,bornhuetter_ferguson_standard,gross,1.1,50.0,8.22843706403509,9.488444738607711
long_stable_break,bornhuetter_ferguson_standard,gross,1.2,50.0,18.06738588803826,18.06738588803826
long_stable_break,expected_loss,gross,0.8,50.0,-35.01403266757176,35.01403266757176
long_stable_break,expected_loss,gross,0.9,50.0,-13.595794866824763,15.418423856492005
long_stable_break,expected_loss,gross,1.0,50.0,12.322198650819287,15.502598515188872
long_stable_break,expected_loss,gross,1.1,50.0,41.1336477022626,41.1336477022626
long_stable_break,expected_loss,gross,1.2,50.0,72.66384280739305,72.66384280739305
long_stable_no_break,bornhuetter_ferguson_break_aware,ceded,0.8,50.0,-51.20016841227263,51.20016841227263
long_stable_no_break,bornhuetter_ferguson_break_aware,ceded,0.9,50.0,-45.10018946380672,45.10018946380672
long_stable_no_break,bornhuetter_ferguson_break_aware,ceded,1.0,50.0,-39.0002105153408,39.0002105153408
long_stable_no_break,bornhuetter_ferguson_break_aware,ceded,1.1,50.0,-32.90023156687488,32.90023156687488
long_stable_no_break,bornhuetter_ferguson_break_aware,ceded,1.2,50.0,-26.80025261840897,26.80025261840897
long_stable_no_break,bornhuetter_ferguson_standard,ceded,0.8,50.0,-51.20016841227263,51.20016841227263
long_stable_no_break,bornhuetter_ferguson_standard,ceded,0.9,50.0,-45.10018946380672,45.10018946380672
long_stable_no_break,bornhuetter_ferguson_standard,ceded,1.0,50.0,-39.0002105153408,39.0002105153408
long_stable_no_break,bornhuetter_ferguson_standard,ceded,1.1,50.0,-32.90023156687488,32.90023156687488
