scenario_id,accident_year,expected_loss_prior_ultimate,pricing_assumption_version,paid_to_date,estimated_reserve,estimated_ultimate,prior_exhausted,basis,model,true_reserve,simulation_id,seed,tail_type,inflation_scenario,structural_break,clause_type,signed_error
short_stable_no_break,2022,35315436.85387436,pricing_mc_v1,30052885.75717762,5262551.096696742,35315436.85387436,False,ceded,expected_loss,4497004.931011992,24,20260840,short,stable,False,none,765546.1656847503
short_stable_no_break,2023,38665313.28563042,pricing_mc_v1,17713566.875025507,20951746.410604913,38665313.28563042,False,ceded,expected_loss,12585756.121748887,24,20260840,short,stable,False,none,8365990.288856026
short_stable_no_break,2024,42781010.08873995,pricing_mc_v1,3557521.1055791234,39223488.98316082,42781010.08873995,False,ceded,expected_loss,28771015.95698886,24,20260840,short,stable,False,none,10452473.026171964
short_stable_no_break,2010,86443353.24362053,pricing_mc_v1,75008834.78933334,11434518.454287186,86443353.24362053,False,gross,expected_loss,0.0,25,20260841,short,stable,False,none,11434518.454287186
short_stable_no_break,2011,89501387.97413269,pricing_mc_v1,111154353.12834957,0.0,111154353.12834957,True,gross,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2012,92821280.32590528,pricing_mc_v1,93640065.48235959,0.0,93640065.48235959,True,gross,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2013,97219172.94710933,pricing_mc_v1,89491424.87873057,7727748.068378761,97219172.94710933,False,gross,expected_loss,0.0,25,20260841,short,stable,False,none,7727748.068378761
short_stable_no_break,2014,100714210.71215343,pricing_mc_v1,69406097.23342195,31308113.478731483,100714210.71215343,False,gross,expected_loss,0.0,25,20260841,short,stable,False,none,31308113.478731483
short_stable_no_break,2015,104555715.13205469,pricing_mc_v1,82366332.27166432,22189382.860390365,104555715.13205469,False,gross,expected_loss,0.0,25,20260841,short,stable,False,none,22189382.860390365
short_stable_no_break,2016,108170412.59938948,pricing_mc_v1,145917911.30964127,0.0,145917911.30964127,True,gross,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2017,113212500.65963858,pricing_mc_v1,91464308.91285817,21748191.74678041,113212500.65963858,False,gross,expected_loss,0.0,25,20260841,short,stable,False,none,21748191.74678041
short_stable_no_break,2018,117652811.81286904,pricing_mc_v1,150482383.7387936,0.0,150482383.7387936,True,gross,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2019,121431102.18952312,pricing_mc_v1,152013770.85281456,0.0,152013770.85281456,True,gross,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2020,128230977.8730076,pricing_mc_v1,146685008.32586005,0.0,146685008.32586005,True,gross,expected_loss,192519.73038627589,25,20260841,short,stable,False,none,-192519.73038627589
short_stable_no_break,2021,132934211.35267717,pricing_mc_v1,100717501.63402355,32216709.71865362,132934211.35267717,False,gross,expected_loss,1522543.7744959283,25,20260841,short,stable,False,none,30694165.94415769
short_stable_no_break,2022,138754510.23007426,pricing_mc_v1,132701110.57984172,6053399.650232539,138754510.23007426,False,gross,expected_loss,12378069.731750567,25,20260841,short,stable,False,none,-6324670.081518028
short_stable_no_break,2023,143197373.0330518,pricing_mc_v1,118857861.91595039,24339511.1171014,143197373.0330518,False,gross,expected_loss,36564885.388427585,25,20260841,short,stable,False,none,-12225374.271326184
short_stable_no_break,2024,149194709.69424832,pricing_mc_v1,103163475.344758,46031234.349490315,149194709.69424832,False,gross,expected_loss,106626817.31069872,25,20260841,short,stable,False,none,-60595582.9612084
