simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error,pricing_assumption_version
15,20260831,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,gross,1736869674.954896,159169676.1087862,1896039351.0636823,151504157.31411543,0.0001,3.474431459000698,success,,,True,True,-7665518.794670761,7665518.794670761,-4.815941693210258,4.815941693210258,-0.0481594169321025,
15,20260831,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,ceded,377575077.440326,85237534.42865795,462812611.868984,80669354.76616666,0.0001,3.606381134000003,success,,,True,True,-4568179.662491292,4568179.662491292,-5.359352183414883,5.359352183414883,-0.0535935218341488,
15,20260831,long_stable_no_break,constant,long,stable,False,none,chain_ladder,gross,1311151575.878732,801427600.4875928,2112579176.366325,847388517.9833865,,0.1938967500000217,success,,,True,True,45960917.4957937,45960917.4957937,5.734880788711399,5.734880788711399,0.0573488078871139,
15,20260831,long_stable_no_break,constant,long,stable,False,none,chain_ladder,ceded,244870895.71628976,330696194.215333,575567089.9316227,,,0.0244098610000946,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,True,False,,,,,,
15,20260831,long_stable_no_break,constant,long,stable,False,none,regularized_poisson,gross,1311151575.878732,801427600.4875928,2112579176.366325,894301851.5698615,0.0001,3.697187538000435,success,,,True,True,92874251.08226871,92874251.08226871,11.588601518810124,11.588601518810124,0.1158860151881012,
15,20260831,long_stable_no_break,constant,long,stable,False,none,regularized_poisson,ceded,244870895.71628976,330696194.215333,575567089.9316227,409350015.6460583,0.1,2.5745207810005013,success,,,True,True,78653821.43072534,78653821.43072534,23.784314064258588,23.784314064258588,0.2378431406425858,
15,20260831,long_emerging_no_break,constant,long,emerging,False,none,chain_ladder,gross,1340089763.712333,933739326.0117816,2273829089.724114,929301246.0919244,,0.0528341310000541,success,,,True,True,-4438079.919857144,4438079.919857144,-0.4753018102828783,0.4753018102828783,-0.0047530181028287,
15,20260831,long_emerging_no_break,constant,long,emerging,False,none,chain_ladder,ceded,254957474.65789372,442539573.47243255,697497048.1303263,,,0.0145724310004879,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,True,False,,,,,,
15,20260831,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson,gross,1340089763.712333,933739326.0117816,2273829089.724114,834727361.2245227,0.0001,3.7105671919998713,success,,,True,True,-99011964.78725886,99011964.78725886,-10.603812223499473,10.603812223499473,-0.1060381222349947,
15,20260831,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson,ceded,254957474.65789372,442539573.47243255,697497048.1303263,539898282.1736271,0.1,3.4952802049992897,success,,,True,True,97358708.70119458,97358708.70119458,22.000000573340685,22.000000573340685,0.2200000057334068,
15,20260831,long_shock_no_break,constant,long,shock,False,none,chain_ladder,gross,1364645227.8035493,1051167030.903139,2415812258.7066884,1023764382.9141572,,0.0668609969998215,success,,,True,True,-27402647.988981843,27402647.988981843,-2.6068785629090847,2.6068785629090847,-0.0260687856290908,
15,20260831,long_shock_no_break,constant,long,shock,False,none,chain_ladder,ceded,263017927.3539383,541572070.8683144,804589998.2222526,,,0.014637483000115,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,True,False,,,,,,
15,20260831,long_shock_no_break,constant,long,shock,False,none,regularized_poisson,gross,1364645227.8035493,1051167030.903139,2415812258.7066884,1025015466.6284808,0.0001,3.709794630000033,success,,,True,True,-26151564.27465832,26151564.27465832,-2.4878600170887677,2.4878600170887677,-0.0248786001708876,
15,20260831,long_shock_no_break,constant,long,shock,False,none,regularized_poisson,ceded,263017927.3539383,541572070.8683144,804589998.2222526,602962954.7918102,0.1,3.149855056999513,success,,,True,True,61390883.92349577,61390883.92349577,11.335681292623976,11.335681292623976,0.1133568129262397,
15,20260831,long_stable_break,constant,long,stable,True,none,chain_ladder,gross,1427935642.8444822,630346883.8524225,2058282526.696905,1098298798.763353,,0.2145885299996734,success,,,True,True,467951914.9109309,467951914.9109309,74.23720603661909,74.23720603661909,0.7423720603661909,
15,20260831,long_stable_break,constant,long,stable,True,none,chain_ladder,ceded,286506153.9117973,248017242.1260349,534523396.03783226,720139350.4286228,,0.0874898629999734,success,,,True,True,472122108.3025879,472122108.3025879,190.3585832402207,190.3585832402207,1.903585832402207,
15,20260831,long_stable_break,constant,long,stable,True,none,regularized_poisson,gross,1427935642.8444822,630346883.8524225,2058282526.696905,1016397172.6773531,0.0001,3.6392344619998767,success,,,True,True,386050288.82493067,386050288.82493067,61.2441020514846,61.2441020514846,0.612441020514846,
15,20260831,long_stable_break,constant,long,stable,True,none,regularized_poisson,ceded,286506153.9117973,248017242.1260349,534523396.03783226,590063570.4544752,0.1,3.822312594000323,success,,,True,True,342046328.32844025,342046328.32844025,137.91231827125253,137.91231827125253,1.3791231827125252,
15,20260831,long_emerging_break,constant,long,emerging,True,none,chain_ladder,gross,1461340867.6372125,720691751.0748918,2182032618.7121043,1204970654.8986216,,0.0563431489999857,success,,,True,True,484278903.82372975,484278903.82372975,67.19639889057161,67.19639889057161,0.6719639889057162,
