simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,seed,pricing_assumption_version
10,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,664849236.6878281,753339760.4341314,-88490523.74630332,88490523.74630332,-11.746429485589397,11.746429485589397,0.008596358000431792,20260826,pricing_mc_v1
10,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,330508437.5308608,341665288.94157326,-11156851.41071248,11156851.41071248,-3.265433092508372,3.265433092508372,0.00841064900123456,20260826,pricing_mc_v1
11,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,765970168.2964468,686489796.4635129,79480371.8329339,79480371.8329339,11.577793616508371,11.577793616508371,0.008277483999336255,20260827,pricing_mc_v1
11,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,353869028.1470163,347078090.3447683,6790937.802248001,6790937.802248001,1.9566022722731524,1.9566022722731524,0.00841635500000848,20260827,pricing_mc_v1
12,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,738002802.0667572,666743048.8152063,71259753.25155091,71259753.25155091,10.687738459092834,10.687738459092834,0.008452017000308842,20260828,pricing_mc_v1
12,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,338351712.5900265,325126140.5975814,13225571.992445111,13225571.992445111,4.067827941529564,4.067827941529564,0.008294462000776548,20260828,pricing_mc_v1
13,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,642384398.8168743,674726389.3585835,-32341990.541709185,32341990.541709185,-4.793348985868852,4.793348985868852,0.008154993998687132,20260829,pricing_mc_v1
13,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,331571968.3441002,337192029.1110455,-5620060.7669453025,5620060.7669453025,-1.6667240864980473,1.6667240864980473,0.00812564000079874,20260829,pricing_mc_v1
14,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,735747507.919782,637567991.0950687,98179516.82471335,98179516.82471335,15.399066169567734,15.399066169567734,0.008506706999469316,20260830,pricing_mc_v1
14,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,339924895.34776264,307592092.7292216,32332802.618541062,32332802.618541062,10.511584459683807,10.511584459683807,0.008097570998870651,20260830,pricing_mc_v1
15,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,654441900.4832481,720691751.0748918,-66249850.59164369,66249850.59164369,-9.192536267111963,9.192536267111963,0.008308243001010851,20260831,pricing_mc_v1
15,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,298645630.34648794,323906786.8950166,-25261156.54852867,25261156.54852867,-7.798896957573235,7.798896957573235,0.008162051999534015,20260831,pricing_mc_v1
16,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,671112201.9089231,672302290.0199585,-1190088.111035347,1190088.111035347,-0.17701681649783121,0.17701681649783121,0.008647165999718709,20260832,pricing_mc_v1
16,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,324036163.5498524,318161411.8648353,5874751.685017049,5874751.685017049,1.8464689512733314,1.8464689512733314,0.008162034000633867,20260832,pricing_mc_v1
17,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,824445288.4383783,695951031.1028775,128494257.33550084,128494257.33550084,18.463117603529557,18.463117603529557,0.008345235999513534,20260833,pricing_mc_v1
17,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,390375516.97470134,315284076.6553456,75091440.31935573,75091440.31935573,23.817073515400626,23.817073515400626,0.009433635001187213,20260833,pricing_mc_v1
18,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,734243170.706884,633155586.1706187,101087584.53626537,101087584.53626537,15.965678380514982,15.965678380514982,0.00864403700143157,20260834,pricing_mc_v1
18,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,330196388.1717415,309103360.71021956,21093027.461521924,21093027.461521924,6.823939866928968,6.823939866928968,0.008166470999640296,20260834,pricing_mc_v1
19,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,642734829.6818082,688457630.0276934,-45722800.34588516,45722800.34588516,-6.641338312140713,6.641338312140713,0.007973064999532653,20260835,pricing_mc_v1
19,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,309006498.16996974,351360784.4941069,-42354286.32413715,42354286.32413715,-12.054357854738775,12.054357854738775,0.008529737000571913,20260835,pricing_mc_v1
20,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,727075047.4287378,733795094.58424,-6720047.1555022,6720047.1555022,-0.915793414960031,0.915793414960031,0.008539427999494364,20260836,pricing_mc_v1
20,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,334762711.75475276,339177091.73262715,-4414379.977874398,4414379.977874398,-1.3014970897133136,1.3014970897133136,0.008566374999645632,20260836,pricing_mc_v1
21,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,730844188.7001262,670714660.9840623,60129527.71606386,60129527.71606386,8.964993791524213,8.964993791524213,0.008460738999929163,20260837,pricing_mc_v1
21,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,360731578.8251996,308303999.9153445,52427578.90985513,52427578.90985513,17.0051568984674,17.0051568984674,0.00846930199986673,20260837,pricing_mc_v1
