comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,group_type,pool_label
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_break,gross,50,50,0,{},0.0,34,16,0,10000,1205027360,1e-12,50.55345320976579,53.720737129996834,-3.1672839202310428,-1.9118688027775121,8.241669338835715,0.68,0.32,-5.458614170491548,-0.9190600189739628,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_no_break,ceded,50,50,0,{},0.0,16,34,0,10000,492381227,1e-12,28.429622073418127,27.397423234596094,1.0321988388220331,1.0035598944091557,19.50998771607264,0.32,0.68,-4.503434272830129,6.019262682410441,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_shock_no_break,gross,50,50,0,{},0.0,31,19,0,10000,1054399292,1e-12,5.82539971489986,6.06211220802678,-0.2367124931269208,-1.2880825212797486,5.087821291051227,0.62,0.38,-1.5727941644283543,1.176998862183299,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_break,ceded,50,50,0,{},0.0,42,8,0,10000,2326276272,1e-12,103.72748887734355,110.52366174499306,-6.796172867649514,-2.5543754778105523,19.260947240180332,0.84,0.16,-12.228534407511065,-1.478627612837023,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_break,gross,50,50,0,{},0.0,28,22,0,10000,3579307697,1e-12,55.45047988190001,57.75512477621739,-2.304644894317391,-0.8108375016365841,5.871823123947816,0.56,0.44,-3.9817279343421044,-0.765286137320082,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_no_break,ceded,50,50,0,{},0.0,16,34,0,10000,593763611,1e-12,33.910848948269944,35.63894820833223,-1.7280992600622884,0.9644284422995151,12.874748518777563,0.32,0.68,-5.497672339720256,1.541967109536723,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_stable_no_break,gross,50,50,0,{},0.0,23,27,0,10000,2054647627,1e-12,7.968911109520853,8.233082501770161,-0.26417139224930614,0.10886088016226747,2.2730129317586525,0.46,0.54,-0.9091293840834932,0.3228994674397633,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_emerging_no_break,ceded,50,50,0,{},0.0,24,26,0,10000,241097955,1e-12,19.84516767596454,20.370924755569856,-0.5257570796053175,0.5132017573672734,8.491878558126515,0.48,0.52,-2.974454933034032,1.7854418003180572,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_emerging_no_break,gross,50,50,0,{},0.0,21,29,0,10000,2032648771,1e-12,14.780852816465035,13.414933073702468,1.365919742762564,0.46877307498592363,8.361238893547927,0.42,0.58,-0.8434368525929494,3.7937677753734373,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_shock_no_break,ceded,50,50,0,{},0.0,21,29,0,10000,4006990368,1e-12,18.227178466586334,16.009741622204032,2.217436844382299,0.7531713003264119,7.334203988585349,0.42,0.58,0.3233170744376541,4.3427340139776245,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_shock_no_break,gross,50,50,0,{},0.0,24,26,0,10000,3044660174,1e-12,13.948839022728482,12.172738798237509,1.7761002244909716,0.22504416239584746,8.628958367634281,0.48,0.52,-0.3993734100111271,4.313119716997203,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_stable_no_break,ceded,50,50,0,{},0.0,13,37,0,10000,1202300852,1e-12,23.823656460110513,19.759507104152302,4.064149355958214,1.5383196525540734,12.119671345075393,0.26,0.74,1.3092454227721915,7.845030451028367,scenario_basis,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,short_stable_no_break,gross,50,50,0,{},0.0,16,34,0,10000,3409059219,1e-12,12.984374173678656,11.824110423023253,1.1602637506554072,0.3410267792430097,4.364734720930026,0.32,0.68,-0.0730491675245455,2.342289463645185,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_break,ceded,50,50,0,{},0.0,0,50,0,10000,1710593862,1e-12,45.14987093013515,30.132740820250845,15.017130109884295,15.01734665028241,1.2164776705972313,0.0,1.0,14.682765373780121,15.352753528539635,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_break,gross,50,50,0,{},0.0,1,49,0,10000,2561184578,1e-12,27.011992978673963,7.065145290390937,19.94684768828302,21.512940213822716,5.024329609249331,0.02,0.98,18.463198920970736,21.19729534205684,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_no_break,ceded,50,50,0,{},0.0,0,0,50,10000,161580202,1e-12,38.475049501830355,38.475049501830355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_emerging_no_break,gross,50,50,0,{},0.0,0,0,50,10000,3656002013,1e-12,21.152436218385105,21.152436218385105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_break,ceded,50,50,0,{},0.0,0,50,0,10000,1097748407,1e-12,45.33903085717448,30.838827777996006,14.500203079178457,14.431298651447214,1.1098986740460923,0.0,1.0,14.20598604912803,14.807154287409038,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_break,gross,50,50,0,{},0.0,0,50,0,10000,1205027360,1e-12,28.3737380274322,8.185151420696798,20.188586606735406,20.987950861746626,3.684588328533642,0.0,1.0,19.0912595385723,21.08139786869609,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_no_break,ceded,50,50,0,{},0.0,0,0,50,10000,492381227,1e-12,38.78976904397377,38.78976904397377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_shock_no_break,gross,50,50,0,{},0.0,0,0,50,10000,1054399292,1e-12,22.570105134322954,22.570105134322954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_break,ceded,50,50,0,{},0.0,0,50,0,10000,2326276272,1e-12,45.65480024743361,29.796976089153787,15.857824158279827,15.88055199984685,1.3929256648625647,0.0,1.0,15.480913633481803,16.237570110569404,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_break,gross,50,50,0,{},0.0,2,48,0,10000,3579307697,1e-12,25.55649034395263,6.324884871111945,19.23160547284069,22.09044180840459,6.801030356990387,0.04,0.96,17.2472777192381,20.945151940843424,scenario_basis,
