comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,required_pairs,rows_present_a,rows_present_b,attempts_a,successful_fits_a,success_rate_a,attempts_b,successful_fits_b,success_rate_b,unconditional_success_rate_a,unconditional_success_rate_b,both_success_pair_count,either_failed_pair_count,structurally_not_applicable_count,not_applicable_a,not_applicable_b,group_type,pool_label,model,shorter_window_years,longer_window_years,prior_multiplier_a,prior_multiplier_b
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,50,50,50,50,0,0.0,50,7,0.14,0.0,0.14,0,50,0,0,0,scenario_basis_model,,inflation_adjusted_chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson_break_interaction,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_tweedie,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,cashflow_uplift,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,inflation_adjusted_chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson_break_interaction,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_tweedie,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,ceded,50,50,50,50,0,0.0,50,0,0.0,0.0,0.0,0,50,0,0,0,scenario_basis_model,,cashflow_uplift,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,ceded,50,50,50,50,0,0.0,50,0,0.0,0.0,0.0,0,50,0,0,0,scenario_basis_model,,chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,ceded,50,50,50,50,0,0.0,50,0,0.0,0.0,0.0,0,50,0,0,0,scenario_basis_model,,inflation_adjusted_chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson_break_interaction,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_tweedie,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,cashflow_uplift,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,inflation_adjusted_chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson_break_interaction,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_tweedie,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,50,50,50,50,0,0.0,50,8,0.16,0.0,0.16,0,50,0,0,0,scenario_basis_model,,cashflow_uplift,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,50,50,50,50,0,0.0,50,8,0.16,0.0,0.16,0,50,0,0,0,scenario_basis_model,,chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,50,50,50,50,0,0.0,50,8,0.16,0.0,0.16,0,50,0,0,0,scenario_basis_model,,inflation_adjusted_chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson_break_interaction,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_tweedie,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,cashflow_uplift,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,50,50,50,50,0,0.0,50,50,1.0,0.0,1.0,0,50,0,0,0,scenario_basis_model,,inflation_adjusted_chain_ladder,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson,10.0,15.0,,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis_model,,regularized_poisson_break_interaction,10.0,15.0,,
