comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,simulation_id,basis,truth_a,ape_a,success_a,applicable_a,fit_attempted_a,failure_detail_a,structural_break_a,truth_b,ape_b,success_b,applicable_b,fit_attempted_b,failure_detail_b,structural_break_b,present_a,present_b,truth_absolute_difference,truth_matches,structural_break,exclusion_reason,included_in_accuracy,paired_ape_difference,pair_outcome,group_type,pool_label
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,14,gross,637567991.0950687,44.3461301295119,True,True,True,,True,637567991.0950687,30.195160313691687,True,True,True,,True,True,True,0.0,True,True,included,True,14.150969815820211,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,15,ceded,323906786.8950166,109.56551168149188,True,True,True,,True,323906786.8950166,139.98852486718613,True,True,True,,True,True,True,0.0,True,True,included,True,-30.423013185694245,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,15,gross,720691751.0748918,34.35335315023689,True,True,True,,True,720691751.0748918,33.63893689607183,True,True,True,,True,True,True,0.0,True,True,included,True,0.7144162541650587,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,16,ceded,318161411.8648353,43.72418929137476,True,True,True,,True,318161411.8648353,56.70603454819112,True,True,True,,True,True,True,0.0,True,True,included,True,-12.981845256816356,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,16,gross,672302290.0199585,47.51061298035436,True,True,True,,True,672302290.0199585,32.81122491083612,True,True,True,,True,True,True,0.0,True,True,included,True,14.699388069518243,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,17,ceded,315284076.6553456,134.2672383822867,True,True,True,,True,315284076.6553456,191.0050584417358,True,True,True,,True,True,True,0.0,True,True,included,True,-56.73782005944909,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,17,gross,695951031.1028775,30.40939396950356,True,True,True,,True,695951031.1028775,22.3261635285701,True,True,True,,True,True,True,0.0,True,True,included,True,8.083230440933463,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,18,ceded,309103360.7102196,71.0275624367245,True,True,True,,True,309103360.7102196,99.20078426341648,True,True,True,,True,True,True,0.0,True,True,included,True,-28.173221826691986,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,18,gross,633155586.1706187,55.519928953549126,True,True,True,,True,633155586.1706187,54.48544980048838,True,True,True,,True,True,True,0.0,True,True,included,True,1.0344791530607438,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,19,ceded,351360784.4941069,171.8246964559021,True,True,True,,True,351360784.4941069,231.90625551795557,True,True,True,,True,True,True,0.0,True,True,included,True,-60.08155906205346,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,19,gross,688457630.0276934,73.21086452160621,True,True,True,,True,688457630.0276934,76.14002390934283,True,True,True,,True,True,True,0.0,True,True,included,True,-2.929159387736618,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,20,ceded,339177091.73262715,180.78725412527405,True,True,True,,True,339177091.73262715,274.34682369675005,True,True,True,,True,True,True,0.0,True,True,included,True,-93.559569571476,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,20,gross,733795094.58424,35.64959572674675,True,True,True,,True,733795094.58424,39.73576322951647,True,True,True,,True,True,True,0.0,True,True,included,True,-4.086167502769719,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,21,ceded,308303999.9153445,1.7706545238077087,True,True,True,,True,308303999.9153445,49.13808486007565,True,True,True,,True,True,True,0.0,True,True,included,True,-47.367430336267944,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,21,gross,670714660.9840623,52.467424865015154,True,True,True,,True,670714660.9840623,47.21106677378562,True,True,True,,True,True,True,0.0,True,True,included,True,5.2563580912295365,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,22,ceded,315854607.4999017,48.16251806273054,True,True,True,,True,315854607.4999017,79.57530053223991,True,True,True,,True,True,True,0.0,True,True,included,True,-31.412782469509366,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,22,gross,641287802.3653271,52.03417988565785,True,True,True,,True,641287802.3653271,38.82231760295248,True,True,True,,True,True,True,0.0,True,True,included,True,13.211862282705368,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,23,ceded,366872921.985839,92.1676191707574,True,True,True,,True,366872921.985839,138.01655858548483,True,True,True,,True,True,True,0.0,True,True,included,True,-45.848939414727425,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,23,gross,736060139.9627335,50.469365356801376,True,True,True,,True,736060139.9627335,60.97317778187082,True,True,True,,True,True,True,0.0,True,True,included,True,-10.503812425069441,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,24,ceded,318321479.60916555,115.9968242157656,True,True,True,,True,318321479.60916555,138.80072991238234,True,True,True,,True,True,True,0.0,True,True,included,True,-22.803905696616738,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,24,gross,695242579.8894112,46.58159333500762,True,True,True,,True,695242579.8894112,35.899773623123885,True,True,True,,True,True,True,0.0,True,True,included,True,10.681819711883733,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,25,ceded,359259980.0107991,17.683156162288384,True,True,True,,True,359259980.0107991,100.60679033398527,True,True,True,,True,True,True,0.0,True,True,included,True,-82.92363417169689,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,25,gross,780262403.0145211,25.61486876582443,True,True,True,,True,780262403.0145211,17.550837214363554,True,True,True,,True,True,True,0.0,True,True,included,True,8.064031551460875,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,26,ceded,314689582.873816,22.484688624049458,True,True,True,,True,314689582.873816,47.14254602290866,True,True,True,,True,True,True,0.0,True,True,included,True,-24.657857398859203,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,26,gross,616133559.4522468,46.03126252168178,True,True,True,,True,616133559.4522468,39.600263705040135,True,True,True,,True,True,True,0.0,True,True,included,True,6.430998816641647,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,27,ceded,353410428.2791988,10.974605663078602,True,True,True,,True,353410428.2791988,47.792494333913766,True,True,True,,True,True,True,0.0,True,True,included,True,-36.81788867083516,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,27,gross,761865734.1144851,21.622160307457364,True,True,True,,True,761865734.1144851,22.5471881157148,True,True,True,,True,True,True,0.0,True,True,included,True,-0.9250278082574361,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,28,ceded,290834789.60206765,86.66130916604288,True,True,True,,True,290834789.60206765,116.04048815895705,True,True,True,,True,True,True,0.0,True,True,included,True,-29.379178992914163,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,28,gross,649024592.3090057,50.986962921777966,True,True,True,,True,649024592.3090057,40.87754671291261,True,True,True,,True,True,True,0.0,True,True,included,True,10.109416208865355,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,29,ceded,289092639.0409425,237.00468255975687,True,True,True,,True,289092639.0409425,323.8743736424871,True,True,True,,True,True,True,0.0,True,True,included,True,-86.86969108273024,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,29,gross,565019115.9561379,54.291267108768615,True,True,True,,True,565019115.9561379,46.34589207506016,True,True,True,,True,True,True,0.0,True,True,included,True,7.945375033708451,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,30,ceded,291157767.08729905,14.363708180229144,True,True,True,,True,291157767.08729905,0.433230241092704,True,True,True,,True,True,True,0.0,True,True,included,True,13.930477939136441,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,30,gross,625499222.5128746,40.42386563225962,True,True,True,,True,625499222.5128746,32.582719325294505,True,True,True,,True,True,True,0.0,True,True,included,True,7.841146306965115,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,31,ceded,340746313.9475435,46.04607096058489,True,True,True,,True,340746313.9475435,71.13884158496919,True,True,True,,True,True,True,0.0,True,True,included,True,-25.092770624384293,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,31,gross,738012142.2479068,45.1747697630536,True,True,True,,True,738012142.2479068,49.30551873955487,True,True,True,,True,True,True,0.0,True,True,included,True,-4.130748976501273,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,32,ceded,294051928.4134518,20.48810741948462,True,True,True,,True,294051928.4134518,94.15138555677032,True,True,True,,True,True,True,0.0,True,True,included,True,-73.6632781372857,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,32,gross,674588726.370204,36.01537127408741,True,True,True,,True,674588726.370204,24.180122692774315,True,True,True,,True,True,True,0.0,True,True,included,True,11.835248581313092,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,33,ceded,325296152.4202118,172.15633653084362,True,True,True,,True,325296152.4202118,244.45916135423792,True,True,True,,True,True,True,0.0,True,True,included,True,-72.3028248233943,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,33,gross,698547627.2716047,62.44168640691653,True,True,True,,True,698547627.2716047,59.13246787035097,True,True,True,,True,True,True,0.0,True,True,included,True,3.3092185365655595,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,34,ceded,353659686.90908873,65.84356638751116,True,True,True,,True,353659686.90908873,99.6327366979908,True,True,True,,True,True,True,0.0,True,True,included,True,-33.78917031047963,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,34,gross,711979917.6094035,55.03835163345228,True,True,True,,True,711979917.6094035,57.94279890409732,True,True,True,,True,True,True,0.0,True,True,included,True,-2.9044472706450435,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,35,ceded,310671306.8566615,206.0674568996076,True,True,True,,True,310671306.8566615,293.4688796249618,True,True,True,,True,True,True,0.0,True,True,included,True,-87.4014227253542,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,35,gross,661633631.7672038,60.55267696284186,True,True,True,,True,661633631.7672038,53.44082814075664,True,True,True,,True,True,True,0.0,True,True,included,True,7.111848822085214,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,36,ceded,298373766.60150135,37.17648882480588,True,True,True,,True,298373766.60150135,64.64231920023848,True,True,True,,True,True,True,0.0,True,True,included,True,-27.465830375432596,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,36,gross,626685541.6008736,27.58432138489401,True,True,True,,True,626685541.6008736,26.421039389283564,True,True,True,,True,True,True,0.0,True,True,included,True,1.163281995610447,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,37,ceded,280012844.6247065,18.92300608666056,True,True,True,,True,280012844.6247065,28.088191960981305,True,True,True,,True,True,True,0.0,True,True,included,True,-9.165185874320745,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,37,gross,573192608.4815664,54.02069947168893,True,True,True,,True,573192608.4815664,43.75301430982611,True,True,True,,True,True,True,0.0,True,True,included,True,10.267685161862815,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,38,ceded,312303097.24901414,96.7164316839509,True,True,True,,True,312303097.24901414,141.40516842129088,True,True,True,,True,True,True,0.0,True,True,included,True,-44.68873673733998,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,38,gross,673701907.4173647,48.35062312702839,True,True,True,,True,673701907.4173647,45.67626791602261,True,True,True,,True,True,True,0.0,True,True,included,True,2.674355211005782,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,39,ceded,329071260.7806257,104.9432735121128,True,True,True,,True,329071260.7806257,158.22408992102316,True,True,True,,True,True,True,0.0,True,True,included,True,-53.28081640891037,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,39,gross,705695914.6879461,58.69158809339917,True,True,True,,True,705695914.6879461,60.04981094130384,True,True,True,,True,True,True,0.0,True,True,included,True,-1.3582228479046705,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,40,ceded,264420912.58280376,45.55134171695308,True,True,True,,True,264420912.58280376,70.21781643009808,True,True,True,,True,True,True,0.0,True,True,included,True,-24.666474713145,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,40,gross,582855653.1355705,71.5431337975545,True,True,True,,True,582855653.1355705,48.03433957666954,True,True,True,,True,True,True,0.0,True,True,included,True,23.508794220884965,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,41,ceded,319130515.04039764,3.225382087130555,True,True,True,,True,319130515.04039764,24.791724861991856,True,True,True,,True,True,True,0.0,True,True,included,True,-21.5663427748613,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,41,gross,663356288.9427022,53.6322157013804,True,True,True,,True,663356288.9427022,56.23007358241387,True,True,True,,True,True,True,0.0,True,True,included,True,-2.5978578810334696,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,42,ceded,365620897.7543769,63.77886585066521,True,True,True,,True,365620897.7543769,99.24754054840275,True,True,True,,True,True,True,0.0,True,True,included,True,-35.46867469773754,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,42,gross,760742684.7051454,64.657963603065,True,True,True,,True,760742684.7051454,53.88394284122215,True,True,True,,True,True,True,0.0,True,True,included,True,10.774020761842849,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,43,ceded,361095337.33123547,56.9639374441824,True,True,True,,True,361095337.33123547,91.2730194287921,True,True,True,,True,True,True,0.0,True,True,included,True,-34.3090819846097,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,43,gross,708200244.9624375,40.22864240823592,True,True,True,,True,708200244.9624375,47.97889207493956,True,True,True,,True,True,True,0.0,True,True,included,True,-7.750249666703638,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,44,ceded,385637467.7939311,20.340848007217257,True,True,True,,True,385637467.7939311,48.14206684409212,True,True,True,,True,True,True,0.0,True,True,included,True,-27.801218836874863,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,44,gross,785838536.0565786,42.3162962055169,True,True,True,,True,785838536.0565786,35.225717994569784,True,True,True,,True,True,True,0.0,True,True,included,True,7.090578210947115,model_b_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,45,ceded,326853781.3478096,96.46098091084797,True,True,True,,True,326853781.3478096,126.19331035166056,True,True,True,,True,True,True,0.0,True,True,included,True,-29.73232944081259,model_a_win,scenario_basis,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,45,gross,674736006.6359785,47.84904573156141,True,True,True,,True,674736006.6359785,40.27739049571981,True,True,True,,True,True,True,0.0,True,True,included,True,7.571655235841604,model_b_win,scenario_basis,
