comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_emerging_break,ceded,,50,15.017130109884295,14.682765373780121,15.352753528539635,10000,1710593862
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_emerging_break,gross,,50,19.94684768828302,18.463198920970736,21.19729534205684,10000,2561184578
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_emerging_no_break,ceded,,50,0.0,0.0,0.0,10000,161580202
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_emerging_no_break,gross,,50,0.0,0.0,0.0,10000,3656002013
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_shock_break,ceded,,50,14.500203079178457,14.20598604912803,14.807154287409038,10000,1097748407
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_shock_break,gross,,50,20.188586606735406,19.0912595385723,21.08139786869609,10000,1205027360
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_shock_no_break,ceded,,50,0.0,0.0,0.0,10000,492381227
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_shock_no_break,gross,,50,0.0,0.0,0.0,10000,1054399292
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_stable_break,ceded,,50,15.857824158279827,15.480913633481803,16.237570110569404,10000,2326276272
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_stable_break,gross,,50,19.23160547284069,17.2472777192381,20.945151940843424,10000,3579307697
