comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,prior_multiplier_a,prior_multiplier_b,group_type,pool_label
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1023588577,1e-12,43.83758087132303,29.796976089153787,14.04060478216923,14.06072813817376,1.233304049538476,0.0,1.0,13.69769412942286,14.379662580744277,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_break,ceded,expected_loss,50,50,0,{},0.0,16,34,0,10000,643048025,1e-12,23.069600124499804,13.493135547022145,9.576464577477653,14.711732193053459,21.604603593695717,0.32,0.68,3.5077477092207237,15.263558685686423,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,4025990548,1e-12,40.4451922751621,25.55649034395263,14.888701931209468,14.817730854376382,1.1546132545704106,0.0,1.0,14.57284642535153,15.20885564318165,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,3,47,0,10000,448476072,1e-12,21.288409407974477,6.324884871111945,14.963524536862534,18.153087850657176,7.0552876344144035,0.06,0.94,12.886836059404333,16.76508625807079,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_break,gross,expected_loss,50,50,0,{},0.0,9,41,0,10000,2803023251,1e-12,35.01403266757176,15.502598515188872,19.511434152382886,25.2274143328992,20.2764214299324,0.18,0.82,13.92302409567871,24.951783881759237,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,3021609692,1e-12,51.20016841227263,39.0002105153408,12.19995789693184,12.116747232147606,1.0164538080952734,0.0,1.0,11.92363586356026,12.47698229106685,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,409910217,1e-12,51.20016841227263,39.0002105153408,12.19995789693184,12.116747232147606,1.0164538080952734,0.0,1.0,11.918403183628078,12.474323629577619,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_no_break,ceded,expected_loss,50,50,0,{},0.0,13,37,0,10000,1163205428,1e-12,21.359332332712437,11.00374900788119,10.355583324831246,16.947618422784956,17.384510570824936,0.26,0.74,5.405337961646036,15.028873107254311,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,330789271,1e-12,35.536392674911,19.420490843638746,16.115901831272254,16.04828958478145,1.1491086111853839,0.0,1.0,15.797834688804825,16.43895673009318,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_no_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1842784217,1e-12,35.536392674911,19.420490843638746,16.115901831272254,16.04828958478145,1.1491086111853839,0.0,1.0,15.802408831442753,16.430261994231316,0.8,1.0,scenario_basis_model,
