scenario_id,simulation_id,gross_ultimate_a,success_a,ceded_ultimate_a,ceded_true_reserve_a,ceded_share_a,attachment_frequency_a,exhaustion_frequency_a,gross_ultimate_b,success_b,ceded_ultimate_b,ceded_true_reserve_b,ceded_share_b,attachment_frequency_b,exhaustion_frequency_b,present_a,present_b,gross_ultimate_absolute_difference,included_in_mechanics,exclusion_reason,ceded_ultimate_difference_a_minus_b,ceded_true_reserve_difference_a_minus_b,ceded_share_difference_a_minus_b,attachment_frequency_difference_a_minus_b,exhaustion_frequency_difference_a_minus_b,variant_a,variant_b
long_emerging_break,48,1941003348.264084,True,335698187.6851348,158050188.0991665,0.1729508545079857,0.2984441301272984,0.0113154172560113,1941003348.264084,True,553373436.2978905,322795334.1595725,0.2850965902726516,0.6039603960396039,0.0297029702970297,True,True,0.0,True,included,-217675248.61275572,-164745146.06040597,-0.11214573576466591,-0.3055162659123055,-0.0183875530410184,fully_indexed,fixed_nominal
long_emerging_break,49,1957003577.6605663,True,328921698.1117612,154890934.47459024,0.168074142462713,0.3137254901960784,0.0084033613445378,1957003577.6605663,True,538095026.3400626,287480166.4890658,0.274958631901588,0.6162464985994398,0.026610644257703,True,True,0.0,True,included,-209173328.2283014,-132589232.01447558,-0.10688448943887499,-0.3025210084033614,-0.0182072829131652,fully_indexed,fixed_nominal
long_emerging_break,50,2055606991.7077088,True,357517518.4186669,192999777.7579845,0.173923089316629,0.3026134800550206,0.0123796423658872,2055606991.7077088,True,566888055.2026598,335576286.10000974,0.2757764774538512,0.6272352132049519,0.0385144429160935,True,True,0.0,True,included,-209370536.78399295,-142576508.34202525,-0.1018533881372222,-0.3246217331499313,-0.026134800550206304,fully_indexed,fixed_nominal
long_emerging_no_break,1,1972344008.5600204,True,325658723.20720994,218603709.71866745,0.1651125370593787,0.2855093256814921,0.0143472022955523,1972344008.5600204,True,555956583.2483603,408650367.9529617,0.2818760727517589,0.6398852223816356,0.0358680057388809,True,True,0.0,True,included,-230297860.04115033,-190046658.23429424,-0.11676353569238021,-0.35437589670014347,-0.0215208034433286,fully_indexed,fixed_nominal
long_emerging_no_break,2,2096885177.0977287,True,364147505.0699761,234274725.6183744,0.1736611565798694,0.3140161725067385,0.013477088948787,2096885177.0977287,True,615984273.5216732,435759123.7895667,0.2937615660835797,0.6509433962264151,0.0309973045822102,True,True,0.0,True,included,-251836768.4516971,-201484398.1711923,-0.12010040950371026,-0.33692722371967654,-0.0175202156334232,fully_indexed,fixed_nominal
long_emerging_no_break,3,2136889759.977532,True,395826595.3140571,207051206.55797252,0.1852349160577281,0.3382157123834887,0.0106524633821571,2136889759.977532,True,671542257.7911235,430686769.0955911,0.3142615357931165,0.6484687083888149,0.0359520639147802,True,True,0.0,True,included,-275715662.4770664,-223635562.5376186,-0.1290266197353884,-0.3102529960053262,-0.025299600532623104,fully_indexed,fixed_nominal
long_emerging_no_break,4,1999897935.107651,True,297364080.4673719,186018085.39762312,0.1486896282291352,0.3035714285714285,0.0096153846153846,1999897935.107651,True,550911486.3855014,394207720.4251218,0.2754698010905475,0.6483516483516484,0.0274725274725274,True,True,0.0,True,included,-253547405.9181295,-208189635.02749866,-0.12678017286141227,-0.3447802197802199,-0.0178571428571428,fully_indexed,fixed_nominal
long_emerging_no_break,5,2125455270.374148,True,367135309.95051646,191657990.59929904,0.1727325505588687,0.3310719131614654,0.0176390773405698,2125455270.374148,True,618819215.6686715,390448899.0550506,0.2911466659845256,0.6431478968792401,0.0325644504748982,True,True,0.0,True,included,-251683905.71815503,-198790908.45575157,-0.11841411542565689,-0.31207598371777473,-0.014925373134328398,fully_indexed,fixed_nominal
long_emerging_no_break,6,2093809391.356173,True,310387185.0661118,173006490.02431288,0.1482404207123515,0.287248322147651,0.0147651006711409,2093809391.356173,True,557459107.4536377,383883858.8695064,0.266241573733972,0.6456375838926175,0.0255033557046979,True,True,0.0,True,included,-247071922.38752592,-210877368.84519354,-0.11800115302162051,-0.3583892617449665,-0.010738255033557,fully_indexed,fixed_nominal
long_emerging_no_break,7,1990234438.354032,True,312536237.9367558,181414406.8262215,0.1570348858977791,0.310099573257468,0.0085348506401137,1990234438.354032,True,562492505.7546983,390762234.94918907,0.2826262549350177,0.6486486486486487,0.0241820768136557,True,True,0.0,True,included,-249956267.8179425,-209347828.12296757,-0.1255913690372386,-0.3385490753911807,-0.015647226173542,fully_indexed,fixed_nominal
long_emerging_no_break,8,2276977640.202332,True,403108557.4769936,237597054.8467577,0.1770366780769851,0.3299492385786802,0.0114213197969543,2276977640.202332,True,688381225.5617543,466654718.757437,0.3023223475750007,0.6789340101522843,0.0266497461928934,True,True,0.0,True,included,-285272668.0847607,-229057663.91067928,-0.12528566949801562,-0.3489847715736041,-0.0152284263959391,fully_indexed,fixed_nominal
long_emerging_no_break,9,2071193651.6755996,True,354165066.44489473,208092215.6616676,0.1709956315086107,0.3202702702702703,0.0094594594594594,2071193651.6755996,True,623081964.0504847,430188839.7616966,0.3008323067939158,0.6581081081081082,0.031081081081081,True,True,0.0,True,included,-268916897.6055899,-222096624.100029,-0.12983667528530513,-0.3378378378378379,-0.021621621621621602,fully_indexed,fixed_nominal
long_emerging_no_break,10,2323031111.9299126,True,400237363.0692716,241859429.2745469,0.1722910042030238,0.3106060606060606,0.0151515151515151,2323031111.9299126,True,651896447.4102663,448150465.0327138,0.2806232099356982,0.6376262626262627,0.0366161616161616,True,True,0.0,True,included,-251659084.34099466,-206291035.75816688,-0.10833220573267444,-0.32702020202020204,-0.021464646464646502,fully_indexed,fixed_nominal
long_emerging_no_break,11,2100349669.2709649,True,371680831.0138013,222330339.50304464,0.1769614062132866,0.3144827586206896,0.0151724137931034,2100349669.2709649,True,636631992.7277157,447353470.6937061,0.303107621574598,0.6551724137931034,0.04,True,True,0.0,True,included,-264951161.71391445,-225023131.19066146,-0.12614621536131138,-0.34068965517241384,-0.024827586206896603,fully_indexed,fixed_nominal
long_emerging_no_break,12,2111339146.5867813,True,382534573.0631438,236398042.6726969,0.1811810166460249,0.3171390013495276,0.0107962213225371,2111339146.5867813,True,629842658.7409816,429313850.2498671,0.2983142996042078,0.6356275303643725,0.0350877192982456,True,True,0.0,True,included,-247308085.6778378,-192915807.5771702,-0.1171332829581829,-0.31848852901484487,-0.0242914979757085,fully_indexed,fixed_nominal
long_emerging_no_break,13,2257463503.2972646,True,385983123.0228641,236418364.4794028,0.1709808918102529,0.3045112781954887,0.012531328320802,2257463503.2972646,True,656704472.9274471,457401365.75274265,0.2909036943313859,0.6403508771929824,0.037593984962406,True,True,0.0,True,included,-270721349.904583,-220983001.27333984,-0.11992280252113302,-0.33583959899749377,-0.025062656641603998,fully_indexed,fixed_nominal
long_emerging_no_break,14,2071318046.2154703,True,354071628.67150265,221975249.57590905,0.1709402519417194,0.2959459459459459,0.0081081081081081,2071318046.2154703,True,603942635.3264816,413449654.8698396,0.2915740711234338,0.6527027027027027,0.031081081081081,True,True,0.0,True,included,-249871006.65497893,-191474405.29393056,-0.1206338191817144,-0.3567567567567568,-0.022972972972972898,fully_indexed,fixed_nominal
long_emerging_no_break,15,2273829089.7241144,True,439540639.5029293,238770883.9513328,0.1933041676216127,0.3153638814016172,0.0188679245283018,2273829089.7241144,True,697497048.1303263,442539573.4724326,0.3067499889426404,0.683288409703504,0.0417789757412398,True,True,0.0,True,included,-257956408.627397,-203768689.5210998,-0.11344582132102768,-0.3679245283018868,-0.022911051212938002,fully_indexed,fixed_nominal
