comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,shorter_window_years,longer_window_years,group_type,pool_label
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_shock_no_break,gross,regularized_tweedie,50,50,0,{},0.0,0,50,0,10000,1402174368,1e-12,47.49774402505866,7.295915972277753,40.2018280527809,39.80180242105688,16.840846985604234,0.0,1.0,35.51852629130352,44.75205464862455,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,ceded,cashflow_uplift,50,0,50,"{""both_estimators_failed"": 43, ""model_a_failed"": 7}",0.0,0,0,0,10000,158031627,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,ceded,chain_ladder,50,0,50,"{""both_estimators_failed"": 43, ""model_a_failed"": 7}",0.0,0,0,0,10000,1108100521,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,ceded,inflation_adjusted_chain_ladder,50,0,50,"{""both_estimators_failed"": 43, ""model_a_failed"": 7}",0.0,0,0,0,10000,3335281180,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,ceded,regularized_poisson,50,50,0,{},0.0,2,48,0,10000,775374189,1e-12,488.456291197798,105.27706166838912,383.1792295294088,232.13756633024582,382.88537171124244,0.04,0.96,282.96064904522717,492.8229554801367,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,ceded,regularized_poisson_break_interaction,50,50,0,{},0.0,0,50,0,10000,295948125,1e-12,363.84249396967397,61.70701165376582,302.1354823159082,199.83549945521116,352.59209514745436,0.0,1.0,215.7872765071903,407.5939808388302,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,ceded,regularized_tweedie,50,50,0,{},0.0,7,43,0,10000,3482161658,1e-12,437.4068484945017,97.5694718683089,339.83737662619285,175.48094006067845,456.8981228855453,0.14,0.86,221.86084759797583,475.2894837125617,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,gross,cashflow_uplift,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,494637636,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,gross,chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,3365196201,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,gross,inflation_adjusted_chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,2314468674,1e-12,,,,,,,,,,10,15,scenario_basis_model,
