scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successes,failures,success_rate,mean_runtime_seconds,mean_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_normalised_error
long_shock_no_break,long,shock,False,none,regularized_poisson,gross,50,50,0,1.0,1.7002967779999016,-30620947.378937326,60398442.47930971,78554493.83672921,-3.0400923243090614,6.06211220802678,5.210315453929543,-0.030400923243090613
long_shock_no_break,long,shock,False,none,regularized_tweedie,ceded,50,50,0,1.0,6.651802097999825,-35059313.84943291,147200358.4914835,178773133.72759256,-6.546233306380373,28.429622073418127,26.258976404715145,-0.06546233306380372
long_shock_no_break,long,shock,False,none,regularized_tweedie,gross,50,50,0,1.0,6.77784052799987,-26560329.721476454,57662031.78855263,75218270.44741629,-2.6562528473919773,5.82539971489986,4.355937593425589,-0.026562528473919777
long_stable_break,long,stable,True,none,regularized_poisson,ceded,50,50,0,1.0,1.4169856419999995,271926241.54069704,271926241.54069704,312238983.75555474,110.52366174499306,110.52366174499306,99.78402748700353,1.1052366174499306
long_stable_break,long,stable,True,none,regularized_poisson,gross,50,50,0,1.0,1.6410903379999218,338462322.4590869,338462322.4590869,349479073.99505115,57.75512477621739,57.75512477621739,56.615802134384914,0.5775512477621739
long_stable_break,long,stable,True,none,regularized_tweedie,ceded,50,50,0,1.0,6.517592901999451,255719514.93974534,255880307.83680907,300001468.72667164,103.65424266224758,103.72748887734355,97.6161418130865,1.0365424266224759
long_stable_break,long,stable,True,none,regularized_tweedie,gross,50,50,0,1.0,6.565328041999528,325019715.8403417,325019715.8403417,335250962.4686871,55.45047988190001,55.45047988190001,57.147075787420135,0.554504798819
long_stable_no_break,long,stable,False,none,regularized_poisson,ceded,50,50,0,1.0,1.3531680539997615,63523848.90342167,112738304.18478154,139759905.18101424,20.377506866660905,35.63894820833223,28.45788850565152,0.20377506866660908
long_stable_no_break,long,stable,False,none,regularized_poisson,gross,50,50,0,1.0,1.5434651059999305,16325870.348138934,61605557.096435115,71438166.7359344,2.394011841722051,8.233082501770161,8.087832333152114,0.023940118417220515
long_stable_no_break,long,stable,False,none,regularized_tweedie,ceded,50,50,0,1.0,6.225878485999929,44491786.63157151,107286601.4732174,139039490.4036876,14.41893086190651,33.910848948269944,27.078819761983187,0.1441893086190651
long_stable_no_break,long,stable,False,none,regularized_tweedie,gross,50,50,0,1.0,6.308550705999514,10350950.892664801,59782930.60311501,69065110.05009201,1.5934810112607938,7.968911109520853,7.570881894619592,0.015934810112607934
short_emerging_no_break,short,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,1.2415578160000587,1170174.4126463083,14527832.578318266,18901181.595032208,1.69870382366809,20.37092475556986,17.07782844914604,0.0169870382366809
