simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,pricing_assumption_version
11,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,686489796.4635129,-44644633.52067721,44644633.52067721,-6.503320770485782,6.503320770485782,0.007284979999894858,pricing_mc_v1
11,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,686489796.4635129,-197166916.5260669,197166916.5260669,-28.721026523887506,28.721026523887506,0.005653103000440751,pricing_mc_v1
12,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,325126140.5975815,-101800807.34166986,101800807.34166986,-31.311172689639807,31.311172689639807,0.005631588001051568,pricing_mc_v1
12,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,325126140.5975815,-149801911.5170768,149801911.5170768,-46.075012990878264,46.075012990878264,0.005298827998558409,pricing_mc_v1
12,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,666743048.8152063,-24897885.8723706,24897885.8723706,-3.7342550352214126,3.7342550352214126,0.005261952999717323,pricing_mc_v1
12,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,666743048.8152063,-177420168.8777603,177420168.8777603,-26.60997654089287,26.60997654089287,0.005617148000965244,pricing_mc_v1
13,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,337192029.1110455,-113866695.85513383,113866695.85513383,-33.769094766363764,33.769094766363764,0.005445515998871997,pricing_mc_v1
13,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,337192029.1110455,-161867800.03054076,161867800.03054076,-48.004634171596564,48.004634171596564,0.005081665000034263,pricing_mc_v1
13,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,674726389.3585835,-32881226.41574776,32881226.41574776,-4.8732681771948645,4.8732681771948645,0.005957321000096272,pricing_mc_v1
13,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,674726389.3585835,-185403509.42113745,185403509.42113745,-27.478324895130896,27.478324895130896,0.005343504999473225,pricing_mc_v1
14,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,307592092.7292216,-84266759.47330993,84266759.47330993,-27.395619544580217,27.395619544580217,0.004897631999483565,pricing_mc_v1
14,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,307592092.7292216,-132267863.64871687,132267863.64871687,-43.00106107251413,43.00106107251413,0.004919562001305167,pricing_mc_v1
14,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,637567991.0950687,4277171.847766995,4277171.847766995,0.6708573685483561,0.6708573685483561,0.004971131000274909,pricing_mc_v1
14,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,637567991.0950687,-148245111.1576227,148245111.1576227,-23.251655231781807,23.251655231781807,0.004830263998883311,pricing_mc_v1
15,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,323906786.8950166,-100581453.63910496,100581453.63910496,-31.052592198910922,31.052592198910922,0.004960817999744904,pricing_mc_v1
15,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,323906786.8950166,-148582557.8145119,148582557.8145119,-45.872011277945184,45.872011277945184,0.004803600000741426,pricing_mc_v1
15,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,720691751.0748918,-78846588.13205612,78846588.13205612,-10.940403857052425,10.940403857052425,0.005032240000218735,pricing_mc_v1
15,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,720691751.0748918,-231368871.1374458,231368871.1374458,-32.10372129171252,32.10372129171252,0.004807313998753671,pricing_mc_v1
16,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,318161411.8648353,-94836078.60892367,94836078.60892367,-29.807536386346232,29.807536386346232,0.007891908000601688,pricing_mc_v1
16,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,318161411.8648353,-142837182.7843306,142837182.7843306,-44.89456529222726,44.89456529222726,0.005324443000063184,pricing_mc_v1
16,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,672302290.0199585,-30457127.077122808,30457127.077122808,-4.530272695667693,4.530272695667693,0.005026377000831417,pricing_mc_v1
16,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,672302290.0199585,-182979410.0825125,182979410.0825125,-27.216835759562926,27.216835759562926,0.0053566870010399725,pricing_mc_v1
17,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,315284076.6553456,-91958743.39943397,91958743.39943397,-29.16694822490485,29.16694822490485,0.004990462999558076,pricing_mc_v1
17,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,315284076.6553456,-139959847.5748409,139959847.5748409,-44.39166387963155,44.39166387963155,0.0049720150000212016,pricing_mc_v1
17,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,695951031.1028775,-54105868.16004181,54105868.16004181,-7.774378618895059,7.774378618895059,0.0049997740006801905,pricing_mc_v1
17,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,695951031.1028775,-206628151.1654315,206628151.1654315,-29.690041674050935,29.690041674050935,0.004893509001703933,pricing_mc_v1
18,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,309103360.71021956,-85778027.45430791,85778027.45430791,-27.750596841528267,27.750596841528267,0.005031284001233871,pricing_mc_v1
18,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,309103360.71021956,-133779131.62971485,133779131.62971485,-43.279740253335866,43.279740253335866,0.0050761300008161925,pricing_mc_v1
18,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,633155586.1706187,8689576.772217035,8689576.772217035,1.372423613092063,1.372423613092063,0.005095319998872583,pricing_mc_v1
18,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,633155586.1706187,-143832706.23317266,143832706.23317266,-22.71680284826762,22.71680284826762,0.005203598999287351,pricing_mc_v1
19,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,351360784.4941069,-128035451.23819524,128035451.23819524,-36.439880854245615,36.439880854245615,0.0050392809989716625,pricing_mc_v1
19,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,351360784.4941069,-176036555.41360217,176036555.41360217,-50.101366795119596,50.101366795119596,0.006098412000937969,pricing_mc_v1
19,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,688457630.0276934,-46612467.0848577,46612467.0848577,-6.770564382151259,6.770564382151259,0.005014173999370541,pricing_mc_v1
19,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,688457630.0276934,-199134750.0902474,199134750.0902474,-28.924764779240974,28.924764779240974,0.004929253998852801,pricing_mc_v1
20,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,339177091.73262715,-115851758.4767155,115851758.4767155,-34.15671674195535,34.15671674195535,0.005171793000045,pricing_mc_v1
20,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,339177091.73262715,-163852862.65212244,163852862.65212244,-48.308941448583276,48.308941448583276,0.0049046399999497226,pricing_mc_v1
20,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,733795094.58424,-91949931.64140427,91949931.64140427,-12.530736757446173,12.530736757446173,0.004951867000272614,pricing_mc_v1
20,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,733795094.58424,-244472214.64679396,244472214.64679396,-33.31614185637329,33.31614185637329,0.005061808000391466,pricing_mc_v1
21,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,308303999.9153445,-84978666.65943283,84978666.65943283,-27.563270889371097,27.563270889371097,0.0049841429990920005,pricing_mc_v1
21,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,308303999.9153445,-132979770.83483976,132979770.83483976,-43.132677769783704,43.132677769783704,0.005144155000380124,pricing_mc_v1
21,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,670714660.9840623,-28869498.041226625,28869498.041226625,-4.304289099461422,4.304289099461422,0.00497886099947209,pricing_mc_v1
21,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,670714660.9840623,-181391781.04661632,181391781.04661632,-27.044552862536367,27.044552862536367,0.005167703000552137,pricing_mc_v1
22,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,315854607.4999018,-92529274.24399012,92529274.24399012,-29.2948945644299,29.2948945644299,0.005010306000258424,pricing_mc_v1
22,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,315854607.4999018,-140530378.41939706,140530378.41939706,-44.492109686714244,44.492109686714244,0.004996187999495305,pricing_mc_v1
22,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,641287802.3653271,557360.5775085688,557360.5775085688,0.08691270525539375,0.08691270525539375,0.0051168530007998925,pricing_mc_v1
22,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,641287802.3653271,-151964922.42788112,151964922.42788112,-23.69683656345457,23.69683656345457,0.004921806999846012,pricing_mc_v1
23,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,366872921.985839,-143547588.72992736,143547588.72992736,-39.12733268863822,39.12733268863822,0.005137158001161879,pricing_mc_v1
23,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,366872921.985839,-191548692.9053343,191548692.9053343,-52.21118306265402,52.21118306265402,0.005328635999831022,pricing_mc_v1
23,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,736060139.9627335,-94214977.01989782,94214977.01989782,-12.799902060267508,12.799902060267508,0.00516195500131289,pricing_mc_v1
23,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,736060139.9627335,-246737260.0252875,246737260.0252875,-33.52134514956614,33.52134514956614,0.005018756999561447,pricing_mc_v1
24,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,318321479.60916555,-94996146.3532539,94996146.3532539,-29.84283261999472,29.84283261999472,0.004994605000320007,pricing_mc_v1
24,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,318321479.60916555,-142997250.52866083,142997250.52866083,-44.922275023423666,44.922275023423666,0.005022539000492543,pricing_mc_v1
24,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,695242579.8894112,-53397416.94657552,53397416.94657552,-7.680400840102341,7.680400840102341,0.005159070000445354,pricing_mc_v1
24,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,695242579.8894112,-205919699.9519652,205919699.9519652,-29.61839592516325,29.61839592516325,0.0050853180000558496,pricing_mc_v1
25,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,359259980.0107991,-135934646.75488746,135934646.75488746,-37.83740308363914,37.83740308363914,0.005269236000458477,pricing_mc_v1
25,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,359259980.0107991,-183935750.9302944,183935750.9302944,-51.19850836844265,51.19850836844265,0.004799995998837403,pricing_mc_v1
25,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,780262403.0145211,-138417240.07168543,138417240.07168543,-17.739832079171627,17.739832079171627,0.005266239999400568,pricing_mc_v1
25,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,780262403.0145211,-290939523.0770751,290939523.0770751,-37.28739484986573,37.28739484986573,0.007932655000331579,pricing_mc_v1
26,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,314689582.873816,-91364249.61790437,91364249.61790437,-29.033134425215316,29.033134425215316,0.006173472000227775,pricing_mc_v1
26,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,314689582.873816,-139365353.7933113,139365353.7933113,-44.28661175263431,44.28661175263431,0.005590988999756519,pricing_mc_v1
26,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,616133559.4522468,25711603.490588903,25711603.490588903,4.173056814734609,4.173056814734609,0.0049826949998532655,pricing_mc_v1
26,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,616133559.4522468,-126810679.51480079,126810679.51480079,-20.581686806272597,20.581686806272597,0.00486633000036818,pricing_mc_v1
27,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,353410428.2791988,-130085095.02328718,130085095.02328718,-36.808504960277595,36.808504960277595,0.006534604999615112,pricing_mc_v1
27,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,353410428.2791988,-178086199.1986941,178086199.1986941,-50.39075956694852,50.39075956694852,0.0053686849987570895,pricing_mc_v1
27,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,761865734.1144851,-120020571.17164946,120020571.17164946,-15.75350692351968,15.75350692351968,0.005178740000701509,pricing_mc_v1
27,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,761865734.1144851,-272542854.17703915,272542854.17703915,-35.77308205018764,35.77308205018764,0.004893285000434844,pricing_mc_v1
28,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,290834789.60206765,-67509456.346156,67509456.346156,-23.212304290874304,23.212304290874304,0.005105956999614136,pricing_mc_v1
28,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,290834789.60206765,-115510560.52156293,115510560.52156293,-39.71689930204338,39.71689930204338,0.005168973999388982,pricing_mc_v1
28,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,649024592.3090057,-7179429.366170049,7179429.366170049,-1.106187569969901,1.106187569969901,0.005092663999676006,pricing_mc_v1
28,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,649024592.3090057,-159701712.37155974,159701712.37155974,-24.60641927348178,24.60641927348178,0.0048527660001127515,pricing_mc_v1
29,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,289092639.0409425,-65767305.78503084,65767305.78503084,-22.749560833929294,22.749560833929294,0.004962835999322124,pricing_mc_v1
29,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,289092639.0409425,-113768409.96043777,113768409.96043777,-39.35361700590565,39.35361700590565,0.004975129000740708,pricing_mc_v1
29,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,565019115.9561379,76826046.9866978,76826046.9866978,13.597070402952836,13.597070402952836,0.005504407999978866,pricing_mc_v1
29,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,565019115.9561379,-75696236.0186919,75696236.0186919,-13.397110625292218,13.397110625292218,0.005023373998483294,pricing_mc_v1
30,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,291157767.08729905,-67832433.8313874,67832433.8313874,-23.297483872737946,23.297483872737946,0.005121821001011995,pricing_mc_v1
30,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,291157767.08729905,-115833538.00679433,115833538.00679433,-39.78377055353069,39.78377055353069,0.004944936001265887,pricing_mc_v1
30,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,625499222.5128746,16345940.429961085,16345940.429961085,2.6132631091519283,2.6132631091519283,0.004920043000311125,pricing_mc_v1
30,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,625499222.5128746,-136176342.5754286,136176342.5754286,-21.77082523433923,21.77082523433923,0.00497750599970459,pricing_mc_v1
31,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,340746313.9475435,-117420980.69163185,117420980.69163185,-34.45994157099182,34.45994157099182,0.005189327999687521,pricing_mc_v1
31,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,340746313.9475435,-165422084.8670388,165422084.8670388,-48.54699173429792,48.54699173429792,0.00521705799837946,pricing_mc_v1
31,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,738012142.2479068,-96166979.30507112,96166979.30507112,-13.030541613062988,13.030541613062988,0.004927477999444818,pricing_mc_v1
31,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,738012142.2479068,-248689262.3104608,248689262.3104608,-33.697177603742354,33.697177603742354,0.004897705000985297,pricing_mc_v1
