calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_ceded_paid,cumulative_ceded_paid,total_ceded_ultimate,incremental_paid_proportion,cumulative_paid_proportion,incremental_gross_paid,cumulative_gross_paid,total_gross_ultimate,gross_incremental_paid_proportion,gross_cumulative_paid_proportion,calibration_simulations,contributing_accident_years,positive_ceded_accident_years,natural_terminal_development_year,calibration_seed_start,calibration_seed_end,split_half_max_abs_cumulative_difference,available,calibration_source
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,13,3244512785.7740493,746134997522.2684,747073679494.3429,0.004342962247003668,0.9987435215590652,4053842964.3278675,2267804515549.419,2268975883960.837,0.001786639951964266,0.9994837457640259,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,14,938681972.0728177,747073679494.3413,747073679494.3429,0.0012564784409325796,0.9999999999999979,1171368411.42119,2268975883960.8403,2268975883960.837,0.0005162542359755676,1.0000000000000016,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,1,136641464.7901646,136641464.7901646,1273888669625.9465,0.00010726327036905571,0.00010726327036905571,74656805008.74658,74656805008.74658,4331489104457.359,0.01723582888201665,0.01723582888201665,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,2,11725955087.313528,11862596552.103693,1273888669625.9465,0.009204850758863122,0.009312114029232179,426941388288.95605,501598193297.70264,4331489104457.359,0.09856688496563643,0.11580271384765307,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,3,48443737430.83413,60306333982.93782,1273888669625.9465,0.03802823479469263,0.047340348823924815,595340349557.8362,1096938542855.5388,4331489104457.359,0.13744472979170044,0.25324744363935353,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,4,87127632563.73648,147433966546.67432,1273888669625.9465,0.06839501334863106,0.11573536217255588,591571730992.706,1688510273848.2449,4331489104457.359,0.13657467829803466,0.3898221219373882,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,5,104437226016.49371,251871192563.16803,1273888669625.9465,0.08198300880339861,0.1977183709759545,490177571759.47925,2178687845607.724,4331489104457.359,0.11316606366504708,0.5029881856024353,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,6,113803332250.48775,365674524813.65576,1273888669625.9465,0.08933538303932317,0.28705375401527766,406391502024.67303,2585079347632.397,4331489104457.359,0.09382258438708113,0.5968107699895163,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,7,122252831950.15929,487927356763.81506,1273888669625.9465,0.0959682230206636,0.38302197703594126,339939506392.96826,2925018854025.365,4331489104457.359,0.07848097921870573,0.6752917492082221,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,8,125982052702.11595,613909409465.931,1273888669625.9465,0.09889565368307124,0.4819176307190125,289176841564.14185,3214195695589.507,4331489104457.359,0.06676153040915231,0.7420532796173743,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,9,154458404165.16342,768367813631.0945,1273888669625.9465,0.12124953133503984,0.6031671620540524,302136672421.78705,3516332368011.294,4331489104457.359,0.06975353397769615,0.8118068135950705,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,10,262174218743.85843,1030542032374.9529,1273888669625.9465,0.20580622545362692,0.8089733875076793,440174992011.0272,3956507360022.3213,4331489104457.359,0.10162209378711379,0.9134289073821843,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
