calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_gross_paid,cumulative_gross_paid,incremental_ceded_paid,cumulative_ceded_paid,total_gross_ultimate,total_ceded_ultimate
step28_ceded_development_v1,long_shock_break,long,shock,post_break,3,449187494336.47076,877641290262.1849,78254326693.955,101093590986.75624,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,4,433059005898.0974,1310700296160.2822,129813973812.90982,230907564799.66608,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,5,354810161033.3042,1665510457193.5864,150243122462.39423,381150687262.0603,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,6,266492405776.4811,1932002862970.0676,141868678500.31238,523019365762.3727,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,7,187865616717.6558,2119868479687.7234,120723052717.76308,643742418480.1357,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,8,135996454637.37036,2255864934325.0938,98047892447.45502,741790310927.5908,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,9,97228364508.37285,2353093298833.467,73610411797.7708,815400722725.3616,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,10,62988094375.74408,2416081393209.211,48587443827.17352,863988166552.5352,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,11,28357616330.56593,2444439009539.777,22246487094.024334,886234653646.5594,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,12,12232382832.155554,2456671392371.9326,9633646714.507746,895868300361.0671,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,13,4571531337.28414,2461242923709.217,3564646327.9443736,899432946689.0115,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,14,1320955805.9939723,2462563879515.211,1018800969.5999684,900451747658.6115,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,1,75682599916.73674,75682599916.73674,144155126.16280127,144155126.16280127,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,2,437215024534.7216,512897624451.4584,12730219566.551249,12874374692.71405,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,3,616151287563.358,1129048912014.8164,54052516923.25212,66926891615.96617,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,4,618409919370.8556,1747458831385.6719,99348140421.00618,166275032036.97235,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,5,517248828834.7069,2264707660220.379,121465025193.5656,287740057230.53796,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,6,432654095142.51117,2697361755362.89,134517298178.21062,422257355408.7486,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,7,364942444237.19604,3062304199600.086,146583218568.52127,568840573977.2699,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,8,312878225931.7041,3375182425531.79,152172165240.12744,721012739217.3973,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,9,329290985240.5234,3704473410772.3135,183806404805.16577,904819144022.5631,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,10,483004989549.989,4187478400322.3027,301339892293.2611,1206159036315.8242,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,11,232059326959.98486,4419537727282.287,151227760889.1996,1357386797205.024,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,12,111923596390.86438,4531461323673.151,75638238549.94617,1433025035754.9702,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,13,48843359680.58068,4580304683353.732,33652507855.3674,1466677543610.3376,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,14,22842609954.062714,4603147293307.795,16233730486.180965,1482911274096.5186,4603147293307.802,1482911274096.518
step28_ceded_development_v1,long_stable_break,long,stable,post_break,1,79302731417.79869,79302731417.79869,420651231.66995025,420651231.66995025,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,2,315986177151.53424,395288908569.33295,17642164134.250877,18062815365.920826,2068607150393.2463,591316726645.0193
