scenario_id,basis,model,history_window_years,history_start_ay,attempted_fits,required_result_rows,required_rows,applicable_rows,not_applicable_by_design,not_applicable_rows,estimator_invocations,successful_fits,failed_fits,data_dependent_failures,unsuccessful_or_not_applicable,applicability_rate,success_rate,unconditional_success_rate,conditional_fit_success_rate,mean_runtime_seconds,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,rmse,standard_deviation_percentage_error,percentage_error_std
short_stable_no_break,gross,regularized_poisson_break_interaction,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.70579304400002,3.6109018599001934,4.680398206184617,11.724532971556858,16010185.113279667,16010185.113279667,14.00237738892587,14.00237738892587
short_stable_no_break,gross,regularized_tweedie,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,2.7812083739999798,3.2061845295304523,3.600590040622283,12.818392248686564,17962204.11238064,17962204.11238064,15.735367334166558,15.735367334166558
short_stable_no_break,gross,chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.01999165799948969,0.3171131040001132,0.5466729206029798,9.880327208955197,13987260.935642654,13987260.935642654,12.317422186327631,12.317422186327631
short_stable_no_break,gross,inflation_adjusted_chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03324947399989469,0.1892791815887282,0.6806592540732058,9.934183979271324,14062149.771341953,14062149.771341953,12.389221030591566,12.389221030591566
short_stable_no_break,gross,cashflow_uplift,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.027976760000019568,0.3171131040001132,0.5466729206029798,9.880327208955197,13987260.935642654,13987260.935642654,12.317422186327631,12.317422186327631
short_stable_no_break,gross,regularized_poisson,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,9.060000593308359e-07,,,,,,,
short_stable_no_break,gross,regularized_poisson_break_interaction,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,7.979996735230089e-07,,,,,,,
short_stable_no_break,gross,regularized_tweedie,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.579996938351542e-07,,,,,,,
short_stable_no_break,gross,chain_ladder,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.008497721999592613,,,,,,,
short_stable_no_break,gross,inflation_adjusted_chain_ladder,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.014503086000186158,,,,,,,
short_stable_no_break,gross,cashflow_uplift,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.011660399999964283,,,,,,,
short_stable_no_break,gross,regularized_poisson,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,9.079996380023659e-07,,,,,,,
short_stable_no_break,gross,regularized_poisson_break_interaction,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.019998495001346e-07,,,,,,,
short_stable_no_break,gross,regularized_tweedie,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,7.83999712439254e-07,,,,,,,
short_stable_no_break,ceded,chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.02377048399997875,2.9597603017510936,-0.10414121153609301,22.52907525962828,16787300.8391248,16787300.8391248,30.123339570121836,30.123339570121836
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.04634340800024802,3.193135832780889,0.941662796250041,22.753330317147242,16804538.562338255,16804538.562338255,30.147250762828047,30.147250762828047
short_stable_no_break,ceded,cashflow_uplift,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03516686599978129,2.959760301751093,-0.10414121153609301,22.52907525962828,16787300.8391248,16787300.8391248,30.123339570121836,30.123339570121836
short_stable_no_break,ceded,regularized_poisson,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.177352667999803,8.609823613718815,6.125058162762722,19.759507104152302,13192980.515186097,13192980.515186097,24.072571934094462,24.072571934094462
short_stable_no_break,ceded,regularized_poisson_break_interaction,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.211046927999996,8.609823227085883,6.12505816273047,19.759506701942875,13192980.27189134,13192980.27189134,24.072571634135123,24.072571634135123
short_stable_no_break,ceded,regularized_tweedie,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,5.2117055080001595,10.247438449905953,5.56402641139209,23.823656460110513,16215022.442086665,16215022.442086665,30.102899433608428,30.102899433608428
short_stable_no_break,ceded,chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.02123769799989532,3.418293022020023,0.600505663639832,24.038643897099767,18789584.1834219,18789584.1834219,32.417093076062294,32.417093076062294
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.037862047999806234,3.4461522989897957,0.8466253664671365,24.019270954795903,18974676.47189098,18974676.47189098,32.57000713529573,32.57000713529573
short_stable_no_break,ceded,cashflow_uplift,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.030577715999970678,3.418293022020023,0.600505663639832,24.038643897099767,18789584.1834219,18789584.1834219,32.417093076062294,32.417093076062294
short_stable_no_break,ceded,regularized_poisson,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.6098555199996918,7.786396761721715,2.3174256722425337,18.6549581511478,13656129.68219368,13656129.68219368,23.85148632894505,23.85148632894505
short_stable_no_break,ceded,regularized_poisson_break_interaction,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.6301444480006466,7.786396768435019,2.3174256724131115,18.65495815778397,13656129.682634959,13656129.682634959,23.851486329590642,23.851486329590642
short_stable_no_break,ceded,regularized_tweedie,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,2.6333265219999884,6.202877707158048,3.5179711422983795,21.173781600940796,14837799.437235111,14837799.437235111,26.28247980557687,26.28247980557687
short_stable_no_break,ceded,chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.02030893599963747,4.125998234641997,-1.351315757457904,26.70356608806688,20416892.978904355,20416892.978904355,36.758427900689206,36.758427900689206
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03380496199970366,3.9958250956720582,-1.237010783818116,26.80028892552537,20670275.548924502,20670275.548924502,37.23791512803419,37.23791512803419
short_stable_no_break,ceded,cashflow_uplift,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03002024000059464,4.125998234641997,-1.351315757457904,26.70356608806688,20416892.978904355,20416892.978904355,36.758427900689206,36.758427900689206
short_stable_no_break,ceded,regularized_poisson,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,9.099997987505048e-07,,,,,,,
short_stable_no_break,ceded,regularized_poisson_break_interaction,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.53999808896333e-07,,,,,,,
short_stable_no_break,ceded,regularized_tweedie,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.699996396899223e-07,,,,,,,
short_stable_no_break,ceded,chain_ladder,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.008738612000015564,,,,,,,
short_stable_no_break,ceded,inflation_adjusted_chain_ladder,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.014697659999947064,,,,,,,
short_stable_no_break,ceded,cashflow_uplift,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.011900301999849034,,,,,,,
short_stable_no_break,ceded,regularized_poisson,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.880003588274121e-07,,,,,,,
short_stable_no_break,ceded,regularized_poisson_break_interaction,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.300000627059489e-07,,,,,,,
short_stable_no_break,ceded,regularized_tweedie,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.13999940874055e-07,,,,,,,
short_emerging_no_break,gross,chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.023757694000087214,-1.3333621051364355,-1.739240936022531,8.624341509151018,13335761.495626913,13335761.495626913,10.243057665312103,10.243057665312103
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.04866983000014443,1.0966380684737915,1.1053860708792487,8.859363323278071,13432851.717290185,13432851.717290185,10.5776017315569,10.5776017315569
short_emerging_no_break,gross,cashflow_uplift,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03528852000061306,1.5720045543821126,1.1506928286656017,8.870810646878272,13458849.470194116,13458849.470194116,10.55871444770691,10.55871444770691
short_emerging_no_break,gross,regularized_poisson,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.4230487140001786,1.3276198486947823,1.1315944157730071,13.414933073702468,20547013.094564732,20547013.094564732,16.329415303673517,16.329415303673517
short_emerging_no_break,gross,regularized_poisson_break_interaction,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.431603159999795,1.3276196157109268,1.1315944595691094,13.414934900176542,20547016.969354223,20547016.969354223,16.32941750154209,16.32941750154209
short_emerging_no_break,gross,regularized_tweedie,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,5.721027385999478,0.8975548711091509,-1.5196305482019727,14.780852816465035,24077316.411298808,24077316.411298808,18.92724191993755,18.92724191993755
short_emerging_no_break,gross,chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.021374979999382048,-0.9986493668406351,-2.3101283167171993,8.464252746294548,13517170.021182645,13517170.021182645,10.460734017639963,10.460734017639963
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.038113954000582456,0.7458591949268374,-0.48032135281818894,8.343670655545953,13563793.023985015,13563793.023985015,10.62873980668329,10.62873980668329
short_emerging_no_break,gross,cashflow_uplift,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03142487199947937,1.9213786861991857,0.5913771145576491,8.58706909533216,13879965.596727207,13879965.596727207,10.793208811344472,10.793208811344472
short_emerging_no_break,gross,regularized_poisson,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.762579539999133,0.766701229847046,2.2194092881009055,12.783370989184384,20108496.6626354,20108496.6626354,15.78564524515265,15.78564524515265
short_emerging_no_break,gross,regularized_poisson_break_interaction,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.7804305860000023,0.7667015804294346,2.219406940649508,12.783371685272446,20108497.840644483,20108497.840644483,15.785646755349337,15.785646755349337
short_emerging_no_break,gross,regularized_tweedie,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,3.004667911999422,-0.13120994031231234,1.561897240523546,13.855288058191066,22798866.552246813,22798866.552246813,17.612804459365705,17.612804459365705
short_emerging_no_break,gross,chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.019920488000061597,-0.459903264527593,-0.2694855765339333,9.855888680561094,15563772.292057717,15563772.292057717,12.271046937710429,12.271046937710429
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.0330690920005145,0.20523069835096436,0.7741648902010742,10.000385016148458,15730468.158853713,15730468.158853713,12.476517452285467,12.476517452285467
short_emerging_no_break,gross,cashflow_uplift,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.027808379999914905,2.477567047317789,2.7269181982482595,10.431829920953906,16093589.153375773,16093589.153375773,12.674750330236645,12.674750330236645
short_emerging_no_break,gross,regularized_poisson,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,9.020000288728625e-07,,,,,,,
short_emerging_no_break,gross,regularized_poisson_break_interaction,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.040003012865782e-07,,,,,,,
short_emerging_no_break,gross,regularized_tweedie,7,2018,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.379998325835914e-07,,,,,,,
