scenario_id,basis,model,first_window_years,second_window_years,comparison,first_mape,second_mape,first_mpe,second_mpe,first_applicability_rate,second_applicability_rate,first_unconditional_success_rate,second_unconditional_success_rate,first_conditional_fit_success_rate,second_conditional_fit_success_rate,difference_in_mape_second_minus_first,accuracy_comparison_available
short_emerging_no_break,gross,cashflow_uplift,15,10,15_vs_10,8.870810646878272,8.58706909533216,1.5720045543821126,1.9213786861991857,1.0,1.0,1.0,1.0,1.0,1.0,-0.2837415515461128,True
short_emerging_no_break,gross,cashflow_uplift,15,7,15_vs_7,8.870810646878272,10.431829920953906,1.5720045543821126,2.477567047317789,1.0,1.0,1.0,1.0,1.0,1.0,1.5610192740756332,True
short_emerging_no_break,gross,cashflow_uplift,15,5,15_vs_5,8.870810646878272,,1.5720045543821126,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,gross,cashflow_uplift,10,7,10_vs_7,8.58706909533216,10.431829920953906,1.9213786861991857,2.477567047317789,1.0,1.0,1.0,1.0,1.0,1.0,1.844760825621746,True
short_emerging_no_break,gross,cashflow_uplift,10,5,10_vs_5,8.58706909533216,,1.9213786861991857,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,gross,regularized_poisson,15,10,15_vs_10,13.414933073702468,12.783370989184384,1.3276198486947823,0.766701229847046,1.0,1.0,1.0,1.0,1.0,1.0,-0.6315620845180838,True
short_emerging_no_break,gross,regularized_poisson_break_interaction,15,10,15_vs_10,13.414934900176542,12.783371685272446,1.3276196157109268,0.7667015804294346,1.0,1.0,1.0,1.0,1.0,1.0,-0.6315632149040962,True
short_emerging_no_break,gross,regularized_tweedie,15,10,15_vs_10,14.780852816465035,13.855288058191066,0.8975548711091509,-0.13120994031231234,1.0,1.0,1.0,1.0,1.0,1.0,-0.9255647582739694,True
short_emerging_no_break,ceded,chain_ladder,15,10,15_vs_10,20.666275354635363,22.209916025310346,-1.5830373753034486,-0.3538031470689583,1.0,1.0,1.0,1.0,1.0,1.0,1.5436406706749821,True
short_emerging_no_break,ceded,chain_ladder,15,7,15_vs_7,20.666275354635363,24.45659071127691,-1.5830373753034486,1.3857495243400648,1.0,1.0,1.0,1.0,1.0,1.0,3.790315356641546,True
short_emerging_no_break,ceded,chain_ladder,15,5,15_vs_5,20.666275354635363,,-1.5830373753034486,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,ceded,chain_ladder,10,7,10_vs_7,22.209916025310346,24.45659071127691,-0.3538031470689583,1.3857495243400648,1.0,1.0,1.0,1.0,1.0,1.0,2.246674685966564,True
short_emerging_no_break,ceded,chain_ladder,10,5,10_vs_5,22.209916025310346,,-0.3538031470689583,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,15,10,15_vs_10,20.914821504561537,22.476883386877955,0.6227243931925246,1.1776642804175024,1.0,1.0,1.0,1.0,1.0,1.0,1.5620618823164172,True
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,15,7,15_vs_7,20.914821504561537,24.897648601548266,0.6227243931925246,1.8889810860141738,1.0,1.0,1.0,1.0,1.0,1.0,3.9828270969867283,True
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,15,5,15_vs_5,20.914821504561537,,0.6227243931925246,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,10,7,10_vs_7,22.476883386877955,24.897648601548266,1.1776642804175024,1.8889810860141738,1.0,1.0,1.0,1.0,1.0,1.0,2.420765214670311,True
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,10,5,10_vs_5,22.476883386877955,,1.1776642804175024,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,ceded,cashflow_uplift,15,10,15_vs_10,20.80513290759801,22.81962414784544,1.5804578619879244,2.8729188027362533,1.0,1.0,1.0,1.0,1.0,1.0,2.014491240247427,True
short_emerging_no_break,ceded,cashflow_uplift,15,7,15_vs_7,20.80513290759801,25.23373967485231,1.5804578619879244,4.673444400309156,1.0,1.0,1.0,1.0,1.0,1.0,4.428606767254298,True
short_emerging_no_break,ceded,cashflow_uplift,15,5,15_vs_5,20.80513290759801,,1.5804578619879244,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,ceded,cashflow_uplift,10,7,10_vs_7,22.81962414784544,25.23373967485231,2.8729188027362533,4.673444400309156,1.0,1.0,1.0,1.0,1.0,1.0,2.414115527006871,True
short_emerging_no_break,ceded,cashflow_uplift,10,5,10_vs_5,22.81962414784544,,2.8729188027362533,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_emerging_no_break,ceded,regularized_poisson,15,10,15_vs_10,20.37092475556986,19.387919174004196,1.69870382366809,1.7493993472142262,1.0,1.0,1.0,1.0,1.0,1.0,-0.9830055815656635,True
short_emerging_no_break,ceded,regularized_poisson_break_interaction,15,10,15_vs_10,20.370925076458022,19.38791859917123,1.6987041416885518,1.749399530281865,1.0,1.0,1.0,1.0,1.0,1.0,-0.9830064772867928,True
short_emerging_no_break,ceded,regularized_tweedie,15,10,15_vs_10,19.84516767596454,19.468798818515523,0.6955766953366532,-0.16715817164867047,1.0,1.0,1.0,1.0,1.0,1.0,-0.37636885744901605,True
short_shock_no_break,gross,chain_ladder,15,10,15_vs_10,8.78938368983922,8.65949783256332,-3.4029545949494895,-2.4262387906665523,1.0,1.0,1.0,1.0,1.0,1.0,-0.12988585727589985,True
short_shock_no_break,gross,chain_ladder,15,7,15_vs_7,8.78938368983922,9.894023422186542,-3.4029545949494895,-0.8160635737255433,1.0,1.0,1.0,1.0,1.0,1.0,1.104639732347323,True
short_shock_no_break,gross,chain_ladder,15,5,15_vs_5,8.78938368983922,,-3.4029545949494895,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,gross,chain_ladder,10,7,10_vs_7,8.65949783256332,9.894023422186542,-2.4262387906665523,-0.8160635737255433,1.0,1.0,1.0,1.0,1.0,1.0,1.2345255896232228,True
short_shock_no_break,gross,chain_ladder,10,5,10_vs_5,8.65949783256332,,-2.4262387906665523,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,gross,inflation_adjusted_chain_ladder,15,10,15_vs_10,8.871846536474564,8.354730438707541,1.101395424669758,0.7511220609512648,1.0,1.0,1.0,1.0,1.0,1.0,-0.5171160977670226,True
short_shock_no_break,gross,inflation_adjusted_chain_ladder,15,7,15_vs_7,8.871846536474564,10.016481892240504,1.101395424669758,0.20969615207676745,1.0,1.0,1.0,1.0,1.0,1.0,1.1446353557659403,True
short_shock_no_break,gross,inflation_adjusted_chain_ladder,15,5,15_vs_5,8.871846536474564,,1.101395424669758,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,gross,inflation_adjusted_chain_ladder,10,7,10_vs_7,8.354730438707541,10.016481892240504,0.7511220609512648,0.20969615207676745,1.0,1.0,1.0,1.0,1.0,1.0,1.661751453532963,True
short_shock_no_break,gross,inflation_adjusted_chain_ladder,10,5,10_vs_5,8.354730438707541,,0.7511220609512648,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,gross,cashflow_uplift,15,10,15_vs_10,8.925499968541107,8.809100647766499,1.7051263280076063,2.74410354662332,1.0,1.0,1.0,1.0,1.0,1.0,-0.11639932077460813,True
short_shock_no_break,gross,cashflow_uplift,15,7,15_vs_7,8.925499968541107,11.099879282310392,1.7051263280076063,4.45121492579543,1.0,1.0,1.0,1.0,1.0,1.0,2.1743793137692844,True
short_shock_no_break,gross,cashflow_uplift,15,5,15_vs_5,8.925499968541107,,1.7051263280076063,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,gross,cashflow_uplift,10,7,10_vs_7,8.809100647766499,11.099879282310392,2.74410354662332,4.45121492579543,1.0,1.0,1.0,1.0,1.0,1.0,2.2907786345438925,True
short_shock_no_break,gross,cashflow_uplift,10,5,10_vs_5,8.809100647766499,,2.74410354662332,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,gross,regularized_poisson,15,10,15_vs_10,12.172738798237509,11.00524504464965,2.1799726459205333,2.3596104726184994,1.0,1.0,1.0,1.0,1.0,1.0,-1.1674937535878591,True
short_shock_no_break,gross,regularized_poisson_break_interaction,15,10,15_vs_10,12.172740658934815,11.00524717472045,2.179978250361495,2.359609298354435,1.0,1.0,1.0,1.0,1.0,1.0,-1.167493484214365,True
short_shock_no_break,gross,regularized_tweedie,15,10,15_vs_10,13.94883902272848,13.202063270041702,2.697492978824457,2.269641764585671,1.0,1.0,1.0,1.0,1.0,1.0,-0.7467757526867782,True
short_shock_no_break,ceded,chain_ladder,15,10,15_vs_10,19.992746320777236,21.589645621003896,-3.6419736265183342,-1.5561737684092665,1.0,1.0,1.0,1.0,1.0,1.0,1.59689930022666,True
short_shock_no_break,ceded,chain_ladder,15,7,15_vs_7,19.992746320777236,23.86450667384054,-3.6419736265183342,1.4814810166316525,1.0,1.0,1.0,1.0,1.0,1.0,3.871760353063305,True
short_shock_no_break,ceded,chain_ladder,15,5,15_vs_5,19.992746320777236,,-3.6419736265183342,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,ceded,chain_ladder,10,7,10_vs_7,21.589645621003896,23.86450667384054,-1.5561737684092665,1.4814810166316525,1.0,1.0,1.0,1.0,1.0,1.0,2.274861052836645,True
short_shock_no_break,ceded,chain_ladder,10,5,10_vs_5,21.589645621003896,,-1.5561737684092665,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,ceded,inflation_adjusted_chain_ladder,15,10,15_vs_10,19.803176220748515,21.47080387591053,-0.5076142538442591,0.27247394619521514,1.0,1.0,1.0,1.0,1.0,1.0,1.6676276551620148,True
short_shock_no_break,ceded,inflation_adjusted_chain_ladder,15,7,15_vs_7,19.803176220748515,24.036407347499292,-0.5076142538442591,1.154669146081463,1.0,1.0,1.0,1.0,1.0,1.0,4.233231126750777,True
short_shock_no_break,ceded,inflation_adjusted_chain_ladder,15,5,15_vs_5,19.803176220748515,,-0.5076142538442591,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,ceded,inflation_adjusted_chain_ladder,10,7,10_vs_7,21.47080387591053,24.036407347499292,0.27247394619521514,1.154669146081463,1.0,1.0,1.0,1.0,1.0,1.0,2.565603471588762,True
short_shock_no_break,ceded,inflation_adjusted_chain_ladder,10,5,10_vs_5,21.47080387591053,,0.27247394619521514,,1.0,1.0,1.0,0.0,1.0,0.0,,False
short_shock_no_break,ceded,cashflow_uplift,15,10,15_vs_10,20.024225722916686,22.31515384385367,1.831842330325756,4.072823069125283,1.0,1.0,1.0,1.0,1.0,1.0,2.2909281209369823,True
