scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successes,failures,success_rate,mean_runtime_seconds,mean_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_normalised_error
long_shock_break,long,shock,True,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,3.753180238119821,199701015.32515484,211474683.71618757,268422662.90433875,50.479475654943734,53.54479781212886,46.32851586614461,0.5047947565494374
long_shock_break,long,shock,True,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,3.38300045626027,359007466.9491626,359007466.9491626,371823628.53030026,47.55678850478427,47.55678850478427,46.57699399481681,0.4755678850478427
long_shock_no_break,long,shock,False,none,regularized_poisson,ceded,50,50,0,1.0,2.896802962520087,46349996.746482305,142320662.8694907,183791908.70804945,8.976174913683344,27.397423448741836,24.306287719396018,0.08976174913683346
long_shock_no_break,long,shock,False,none,regularized_poisson,gross,50,50,0,1.0,3.1631628862999785,-30621033.485120192,60398479.06403174,78554526.94407615,-3.0401004861878755,6.062115719784583,5.210294518409739,-0.030401004861878755
long_shock_no_break,long,shock,False,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,2.537010334820225,46349999.83765347,142320665.98185748,183791911.1985348,8.976175547252575,27.397424086382784,24.306287893141413,0.08976175547252575
long_shock_no_break,long,shock,False,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,2.927294188460073,-30621166.825292166,60398423.57459309,78554438.49855997,-3.0401147547580627,6.062110338178432,5.210335893039673,-0.030401147547580637
long_stable_break,long,stable,True,none,regularized_poisson,ceded,50,50,0,1.0,2.6729104285996437,271926241.63374484,271926241.63374484,312238983.85209113,110.52366178415977,110.52366178415977,99.78402748705828,1.1052366178415978
long_stable_break,long,stable,True,none,regularized_poisson,gross,50,50,0,1.0,3.214277811319698,338462362.9371132,338462362.9371132,349479126.79663116,57.755131485498005,57.755131485498005,56.61582901819651,0.5775513148549801
long_stable_break,long,stable,True,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,3.7105397005400302,142152635.233751,147651740.99383828,184200092.57501942,58.231152698167854,60.29453247705186,48.47491127634714,0.5823115269816784
long_stable_break,long,stable,True,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,3.0063943995401496,298892214.5335024,298892214.5335024,309033519.7555529,51.018442493127665,51.018442493127665,51.90772927676366,0.5101844249312767
long_stable_no_break,long,stable,False,none,regularized_poisson,ceded,50,50,0,1.0,2.370249490939823,63523848.80219144,112738304.24335627,139759905.17867827,20.377506833051367,35.63894822881193,28.457888483959366,0.20377506833051362
long_stable_no_break,long,stable,False,none,regularized_poisson,gross,50,50,0,1.0,2.812538012779769,16325833.28145979,61605567.60567913,71438183.35946876,2.394007059637368,8.233083421981753,8.087825899005562,0.023940070596373673
long_stable_no_break,long,stable,False,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,2.487572199999777,63523848.820881374,112738304.25938271,139759905.19903466,20.37750683879713,35.63894823377401,28.45788848547133,0.20377506838797133
long_stable_no_break,long,stable,False,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,2.622605294159803,16325774.808811165,61605590.551246226,71438197.50596023,2.3939991035796324,8.233086202991466,8.08781760416862,0.023939991035796318
short_emerging_no_break,short,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,2.1725955649800017,1170174.4087008806,14527832.579565022,18901181.590314437,1.6987038178759577,20.370924758574013,17.077828449786153,0.016987038178759573
short_emerging_no_break,short,emerging,False,none,regularized_poisson,gross,50,50,0,1.0,2.58644909891962,910809.0902746603,16998639.592004467,20547017.706008926,1.327623343491362,13.414934448403462,12.541329298884307,0.013276233434913617
short_emerging_no_break,short,emerging,False,none,regularized_poisson_break_interaction,ceded,50,50,0,1.0,2.381179975720079,1170174.6171604255,14527832.779855516,18901181.70821653,1.6987041094670685,20.37092503756197,17.07782844974551,0.01698704109467069
short_emerging_no_break,short,emerging,False,none,regularized_poisson_break_interaction,gross,50,50,0,1.0,2.4591741914798333,910808.3327332013,16998644.631644227,20547020.61731101,1.3276224077702363,13.41493900237943,12.541329295641326,0.013276224077702362
short_shock_no_break,short,shock,False,none,regularized_poisson,ceded,50,50,0,1.0,2.1717323903000216,-1642027.9434327027,14488484.39064101,18115389.926562205,-1.7092845247194033,16.009741622866144,14.079449719936346,-0.01709284524719403
