simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
37,20260853,long_stable_no_break,constant,long,stable,False,none,regularized_poisson_break_interaction,gross,1260414374.5680401,642954360.8421648,1903368735.4102051,698431305.8062512,0.001,2.214992610999616,success,,,True,True,55476944.96408641,55476944.96408641,8.628442132567654,8.628442132567654,0.08628442132567654
37,20260853,long_stable_no_break,constant,long,stable,False,none,regularized_poisson_break_interaction,ceded,220316378.33218807,275566464.44821846,495882842.7804066,249326464.77791613,0.1,2.1212058040000557,success,,,True,True,-26239999.67030233,26239999.67030233,-9.522203553630552,9.522203553630552,-0.09522203553630552
37,20260853,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson,gross,1285683099.4879563,747082931.3936037,2032766030.8815596,669501037.7730447,0.01,2.6405432569990808,success,,,True,True,-77581893.62055898,77581893.62055898,-10.38464276995838,10.38464276995838,-0.10384642769958378
37,20260853,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson,ceded,227453620.20548162,368065063.67763555,595518683.8831171,304710360.01659685,0.1,2.316479890003393,success,,,True,True,-63354703.6610387,63354703.6610387,-17.21290877977134,17.21290877977134,-0.17212908779771338
37,20260853,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson_break_interaction,gross,1285683099.4879563,747082931.3936037,2032766030.8815596,669501242.729328,0.01,2.4613778720013215,success,,,True,True,-77581688.66427565,77581688.66427565,-10.384615335750647,10.384615335750647,-0.10384615335750647
37,20260853,long_emerging_no_break,constant,long,emerging,False,none,regularized_poisson_break_interaction,ceded,227453620.20548162,368065063.67763555,595518683.8831171,304710360.0171198,0.1,2.422213282003213,success,,,True,True,-63354703.660515726,63354703.660515726,-17.212908779629252,17.212908779629252,-0.17212908779629252
37,20260853,long_shock_no_break,constant,long,shock,False,none,regularized_poisson,gross,1306943996.9756277,840927901.6283157,2147871898.6039433,836363835.3780751,0.001,2.533099346997915,success,,,True,True,-4564066.250240564,4564066.250240564,-0.5427416834907032,0.5427416834907032,-0.0054274168349070315
37,20260853,long_shock_no_break,constant,long,shock,False,none,regularized_poisson,ceded,232917061.2284178,451023852.19317865,683940913.4215964,324019253.87991315,0.1,2.2635219849980786,success,,,True,True,-127004598.3132655,127004598.3132655,-28.159175550402594,28.159175550402594,-0.28159175550402593
37,20260853,long_shock_no_break,constant,long,shock,False,none,regularized_poisson_break_interaction,gross,1306943996.9756277,840927901.6283157,2147871898.6039433,836363807.091932,0.001,2.434720562003349,success,,,True,True,-4564094.536383629,4564094.536383629,-0.5427450471730129,0.5427450471730129,-0.005427450471730128
37,20260853,long_shock_no_break,constant,long,shock,False,none,regularized_poisson_break_interaction,ceded,232917061.2284178,451023852.19317865,683940913.4215964,324019253.7355047,0.1,2.19880555599957,success,,,True,True,-127004598.45767397,127004598.45767397,-28.159175582420517,28.159175582420517,-0.28159175582420515
37,20260853,long_stable_break,constant,long,stable,True,none,regularized_poisson,gross,1356992759.2858267,502639009.28330755,1859631768.569134,833923921.5436298,0.01,2.430982812998991,success,,,True,True,331284912.2603222,331284912.2603222,65.90911293030915,65.90911293030915,0.6590911293030914
37,20260853,long_stable_break,constant,long,stable,True,none,regularized_poisson,ceded,246160588.80903593,216265281.0484224,462425869.85745835,293238128.67028505,0.1,2.3280186369993316,success,,,True,True,76972847.62186265,76972847.62186265,35.591865346443754,35.591865346443754,0.3559186534644376
37,20260853,long_stable_break,constant,long,stable,True,none,regularized_poisson_break_interaction,gross,1356992759.2858267,502639009.28330755,1859631768.569134,802389255.6051264,1.0,2.536219361998519,success,,,True,True,299750246.3218188,299750246.3218188,59.635293080260624,59.635293080260624,0.5963529308026062
37,20260853,long_stable_break,constant,long,stable,True,none,regularized_poisson_break_interaction,ceded,246160588.80903593,216265281.0484224,462425869.85745835,249031955.64155596,0.1,3.2952633280001464,success,,,True,True,32766674.59313357,32766674.59313357,15.151148827165198,15.151148827165198,0.15151148827165198
37,20260853,long_emerging_break,constant,long,emerging,True,none,regularized_poisson,gross,1385902786.217814,573192608.4815664,1959095394.6993804,823981652.4933717,0.01,2.7546783729994786,success,,,True,True,250789044.0118053,250789044.0118053,43.75301430982611,43.75301430982611,0.4375301430982611
37,20260853,long_emerging_break,constant,long,emerging,True,none,regularized_poisson,ceded,256743789.89922518,280012844.6247065,536756634.5239317,358663389.9382984,0.1,2.438560663998942,success,,,True,True,78650545.3135919,78650545.3135919,28.088191960981305,28.088191960981305,0.28088191960981307
37,20260853,long_emerging_break,constant,long,emerging,True,none,regularized_poisson_break_interaction,gross,1385902786.217814,573192608.4815664,1959095394.6993804,882835264.903328,1.0,2.7848835540025902,success,,,True,True,309642656.4217615,309642656.4217615,54.02069947168893,54.02069947168893,0.5402069947168893
37,20260853,long_emerging_break,constant,long,emerging,True,none,regularized_poisson_break_interaction,ceded,256743789.89922518,280012844.6247065,536756634.5239317,332999692.2564711,0.1,3.393474011998478,success,,,True,True,52986847.63176459,52986847.63176459,18.92300608666056,18.92300608666056,0.1892300608666056
37,20260853,long_shock_break,constant,long,shock,True,none,regularized_poisson,gross,1410295688.1262074,644659046.3804226,2054954734.5066304,993352517.3125116,0.01,2.686218089002068,success,,,True,True,348693470.932089,348693470.932089,54.089595560615145,54.089595560615145,0.5408959556061514
37,20260853,long_shock_break,constant,long,shock,True,none,regularized_poisson,ceded,265471573.6560725,344271507.54818845,609743081.204261,411218615.53035927,0.1,2.4330738019998535,success,,,True,True,66947107.98217082,66947107.98217082,19.44602051414321,19.44602051414321,0.1944602051414321
37,20260853,long_shock_break,constant,long,shock,True,none,regularized_poisson_break_interaction,gross,1410295688.1262074,644659046.3804226,2054954734.5066304,1015229756.5701864,0.1,2.730085646999214,success,,,True,True,370570710.1897638,370570710.1897638,57.4832094997213,57.4832094997213,0.574832094997213
37,20260853,long_shock_break,constant,long,shock,True,none,regularized_poisson_break_interaction,ceded,265471573.6560725,344271507.54818845,609743081.204261,376067015.8911185,0.1,3.361523371997464,success,,,True,True,31795508.34293008,31795508.34293008,9.2355909931,9.2355909931,0.092355909931
