analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,ceded,True,True,True,success,,,,237778830.2199477,306004779.9733002,-68225949.75335252,-22.29571373339509,22.29571373339509,0.0085729999991599,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,ceded,True,True,True,success,,,,285053327.52144337,306004779.9733002,-20951452.45185685,-6.846772933966889,6.846772933966889,0.0092463999972096,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,ceded,True,True,True,success,,,,333857096.0699879,306004779.9733002,27852316.096687675,9.10192190433034,9.10192190433034,0.0085871999981463,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,ceded,True,True,True,success,,,,383937078.81055856,306004779.9733002,77932298.83725834,25.46767368929928,25.46767368929928,0.0086708000017097,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,ceded,True,True,True,success,,,,434017061.5511292,306004779.9733002,128012281.577829,41.83342547426823,41.83342547426823,0.0089997999966726,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,483824717.1379532,756118517.7845571,-272293800.64660394,-36.012052904672984,36.012052904672984,0.0039089999991119,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,544302806.7801974,756118517.7845571,-211815711.0043597,-28.013559517757106,28.013559517757106,0.0037519999968935,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,604780896.4224415,756118517.7845571,-151337621.36211562,-20.015066130841237,20.015066130841237,0.003891599997587,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,665258986.0646856,756118517.7845571,-90859531.71987152,-12.01657274392536,12.01657274392536,0.0036994999973103,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,725737075.7069297,756118517.7845571,-30381442.07762742,-4.018079357009491,4.018079357009491,0.003649199999927,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,483824717.1379532,756118517.7845571,-272293800.64660394,-36.012052904672984,36.012052904672984,0.0036844999995082,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,544302806.7801974,756118517.7845571,-211815711.0043597,-28.013559517757106,28.013559517757106,0.0047029000052134,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,604780896.4224415,756118517.7845571,-151337621.36211562,-20.015066130841237,20.015066130841237,0.0037007999999332,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,665258986.0646856,756118517.7845571,-90859531.71987152,-12.01657274392536,12.01657274392536,0.0037249000015435,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,bornhuetter_ferguson_standard,gross,True,True,True,success,,,,725737075.7069297,756118517.7845571,-30381442.07762742,-4.018079357009491,4.018079357009491,0.0039796000055503,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,gross,True,True,True,success,,,,496093910.7529456,756118517.7845571,-260024607.0316116,-34.38939807921766,34.38939807921766,0.0087113000045064,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,gross,True,True,True,success,,,,634805301.1506733,756118517.7845571,-121313216.63388383,-16.04420653382939,16.04420653382939,0.0088764000029186,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,gross,True,True,True,success,,,,804764338.2795206,756118517.7845571,48645820.49496353,6.433623744263901,6.433623744263901,0.0088596999994479,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,gross,True,True,True,success,,,,1005926350.943407,756118517.7845571,249807833.15884995,33.038184792880365,33.038184792880365,0.008619300002465,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,38,20260854,expected_loss,gross,True,True,True,success,,,,1207088363.6072931,756118517.7845571,450969845.822736,59.64274584149678,59.64274584149678,0.008580300003814,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,154509660.8360724,329251731.71843934,-174742070.88236696,-53.072483467390896,53.072483467390896,0.0037126999959582,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,173823368.44058144,329251731.71843934,-155428363.2778579,-47.20654390081476,47.20654390081476,0.0039313000015681,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,193137076.04509047,329251731.71843934,-136114655.67334887,-41.34060433423863,41.34060433423863,0.0036590000017895,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,212450783.64959952,329251731.71843934,-116800948.06883982,-35.47466476766249,35.47466476766249,0.0037811000001966,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,ceded,True,True,True,success,,,,231764491.25410852,329251731.71843934,-97487240.4643308,-29.608725201086354,29.608725201086354,0.0039710000055492,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,154509660.8360724,329251731.71843934,-174742070.88236696,-53.072483467390896,53.072483467390896,0.0038281000015558,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,173823368.44058144,329251731.71843934,-155428363.2778579,-47.20654390081476,47.20654390081476,0.0037635999979102,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,193137076.04509047,329251731.71843934,-136114655.67334887,-41.34060433423863,41.34060433423863,0.0041405000010854,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,212450783.64959952,329251731.71843934,-116800948.06883982,-35.47466476766249,35.47466476766249,0.0042480000047362,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_standard,ceded,True,True,True,success,,,,231764491.25410852,329251731.71843934,-97487240.4643308,-29.608725201086354,29.608725201086354,0.0037311999985831,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,expected_loss,ceded,True,True,True,success,,,,252382475.10094345,329251731.71843934,-76869256.6174959,-23.346652185031143,23.346652185031143,0.0087713999964762,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,expected_loss,ceded,True,True,True,success,,,,300714059.46460986,329251731.71843934,-28537672.25382948,-8.667432698040768,8.667432698040768,0.0101375999947777,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,expected_loss,ceded,True,True,True,success,,,,350613384.2957404,329251731.71843934,21361652.577301085,6.487939324057548,6.487939324057548,0.0086752999995951,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,expected_loss,ceded,True,True,True,success,,,,400887681.976678,329251731.71843934,71635950.25823867,21.757197717489426,21.757197717489426,0.0089526000010664,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,expected_loss,ceded,True,True,True,success,,,,452717505.16900593,329251731.71843934,123465773.4505666,37.49889873203423,37.49889873203423,0.0088772000017343,long,stable,False,,,1.2,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,483824717.1379532,807488237.7061844,-323663520.5682312,-40.0827535875514,40.0827535875514,0.0037050000028102,long,stable,False,,,0.8,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,544302806.7801974,807488237.7061844,-263185430.925987,-32.59309778599532,32.59309778599532,0.0039510000060545,long,stable,False,,,0.9,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,604780896.4224415,807488237.7061844,-202707341.2837429,-25.10344198443925,25.10344198443925,0.0038273000027402,long,stable,False,,,1.0,,,,pricing_mc_v1,,,,,,,,
prior_sensitivity,27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,long_stable_no_break,39,20260855,bornhuetter_ferguson_break_aware,gross,True,True,True,success,,,,665258986.0646856,807488237.7061844,-142229251.6414988,-17.61378618288318,17.61378618288318,0.0037178000056883,long,stable,False,,,1.1,,,,pricing_mc_v1,,,,,,,,
