analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,inflation_adjusted_chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,301848095.26935834,,,,0.0506727849997332,long,stable,False,,,,,,,,,,,,139213657.60900772,441061752.87836605,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,711277942.2898146,753698005.0920122,-42420062.802197576,-5.628257274877475,5.628257274877475,0.1098623979996773,long,stable,False,,,,,,,,,,,,1067805689.3061192,1821503694.3981316,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,cashflow_uplift,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,301848095.26935834,,,,0.0477093190002051,long,stable,False,,,,,,,,,,,,139213657.60900772,441061752.87836605,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,699251110.9202068,753698005.0920122,-54446894.17180538,-7.223966867891399,7.223966867891399,3.827397598999596,long,stable,False,,,,,,,,0.001,,,,1067805689.3061192,1821503694.3981316,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_no_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,420603929.46004033,301848095.26935834,118755834.190682,39.34291322418602,39.34291322418602,2.216992906000087,long,stable,False,,,,,,,,0.1,,,,139213657.60900772,441061752.87836605,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,780131757.828449,880522805.4172087,-100391047.58875966,-11.401300110698717,11.401300110698717,0.0551859549996152,long,emerging,False,,,,,,,,,,,,1091821203.1428115,1972344008.56002,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,408650367.9529617,,,,0.0150606570005038,long,emerging,False,,,,,,,,,,,,147306215.29539862,555956583.2483603,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,826758533.6550664,880522805.4172087,-53764271.7621423,-6.105948810339756,6.105948810339756,0.1255444460002763,long,emerging,False,,,,,,,,,,,,1091821203.1428115,1972344008.56002,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,inflation_adjusted_chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,408650367.9529617,,,,0.0515328089995819,long,emerging,False,,,,,,,,,,,,147306215.29539862,555956583.2483603,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,843110891.4464282,880522805.4172087,-37411913.97078049,-4.248829643095275,4.248829643095275,0.1008519220004018,long,emerging,False,,,,,,,,,,,,1091821203.1428115,1972344008.56002,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,cashflow_uplift,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,408650367.9529617,,,,0.0230843830004232,long,emerging,False,,,,,,,,,,,,147306215.29539862,555956583.2483603,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,745013662.5872685,880522805.4172087,-135509142.8299402,-15.389623300640505,15.389623300640505,3.2140126790000068,long,emerging,False,,,,,,,,0.001,,,,1091821203.1428115,1972344008.56002,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_no_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,615682500.2633258,408650367.9529617,207032132.31036413,50.66241181855362,50.66241181855362,2.4439214610001727,long,emerging,False,,,,,,,,0.1,,,,147306215.29539862,555956583.2483603,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,860963945.5071864,991396478.4184726,-130432532.91128623,-13.156445050052934,13.156445050052934,0.0563005000003613,long,shock,False,,,,,,,,,,,,1112765702.8961644,2104162181.3146367,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,499766947.86483264,,,,0.0150305389997811,long,shock,False,,,,,,,,,,,,154504925.8004606,654271873.6652933,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,930741490.4963462,991396478.4184726,-60654987.92212641,-6.118136309994404,6.118136309994404,0.1218216750003193,long,shock,False,,,,,,,,,,,,1112765702.8961644,2104162181.3146367,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,inflation_adjusted_chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,499766947.86483264,,,,0.0502129200003764,long,shock,False,,,,,,,,,,,,154504925.8004606,654271873.6652933,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,956556106.209589,991396478.4184726,-34840372.20888364,-3.5142723387985826,3.5142723387985826,0.0987787840003875,long,shock,False,,,,,,,,,,,,1112765702.8961644,2104162181.3146367,True,True
