analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,attachment_frequency,exhaustion_frequency,gross_true_reserve,ceded_true_reserve,retained_true_reserve,base_attachment,base_limit,index_reference_year,minimum_applied_index_factor,maximum_applied_index_factor,mean_applied_index_factor,success,status,failure_message,runtime_seconds
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,8,20260824,fully_indexed,long,shock,True,2299384662.4478354,403368103.7080306,1896016558.7398047,0.1754243690912596,0.33248730964467,0.0088832487309644,805124636.3642867,202824791.73903108,602299844.6252556,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4490598999982467
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,9,20260825,fixed_nominal,long,shock,True,2097059362.660221,643173766.9841188,1453885595.6761024,0.3067026992350954,0.6554054054054054,0.0324324324324324,755907880.0472257,411775479.85434985,344132400.192876,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2269613000025856
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,9,20260825,fully_indexed,long,shock,True,2097059362.660221,359616258.4798773,1737443104.1803436,0.1714859697742112,0.3297297297297297,0.0094594594594594,755907880.0472257,190909188.3699088,564998691.6773169,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4500447999962489
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,10,20260826,fixed_nominal,long,shock,True,2351215811.4271545,670286031.9141219,1680929779.5130324,0.2850806075122759,0.6439393939393939,0.0416666666666666,847363480.4536365,419800063.420129,427563417.0335077,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2515274999968824
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,10,20260826,fully_indexed,long,shock,True,2351215811.4271545,403561057.8237361,1947654753.6034184,0.1716393092724143,0.3106060606060606,0.0151515151515151,847363480.4536365,220806234.01618463,626557246.437452,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.450001199998951
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,11,20260827,fixed_nominal,long,shock,True,2121924300.379859,652964175.3338894,1468960125.0459695,0.3077226530734381,0.646896551724138,0.0413793103448275,772277757.1219687,424758999.50438994,347518757.61757886,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2249841999946511
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,11,20260827,fully_indexed,long,shock,True,2121924300.379859,375424604.1118412,1746499696.2680178,0.1769264832136726,0.3172413793103448,0.0151724137931034,772277757.1219687,203909713.33793336,568368043.7840354,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4432937000019592
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,12,20260828,fixed_nominal,long,shock,True,2134932077.4504092,646554866.9333825,1488377210.5170264,0.3028456379303246,0.6342780026990553,0.0350877192982456,750017185.8934898,396764543.5095545,353252642.38393533,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2274404999989201
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,12,20260828,fully_indexed,long,shock,True,2134932077.4504092,388710684.68450046,1746221392.7659087,0.1820716868654242,0.330634278002699,0.0094466936572199,750017185.8934898,217168105.67054757,532849080.2229422,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4497195000003557
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,13,20260829,fixed_nominal,long,shock,True,2276718575.536633,671990979.1496208,1604727596.387013,0.2951576828028599,0.6541353383458647,0.0388471177944862,758960478.834156,413741968.298162,345218510.5359941,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2276520000013988
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,13,20260829,fully_indexed,long,shock,True,2276718575.536633,385669590.9131288,1891048984.623505,0.1693971292970298,0.3070175438596491,0.012531328320802,758960478.834156,201069901.7227376,557890577.1114185,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.449656100005086
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,14,20260830,fixed_nominal,long,shock,True,2093612034.2118683,619737861.5537978,1473874172.65807,0.2960137080923379,0.6527027027027027,0.031081081081081,717178006.5086138,379043855.0887311,338134151.4198826,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2278600999998161
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,14,20260830,fully_indexed,long,shock,True,2093612034.2118683,357231277.5459189,1736380756.665949,0.170629167060743,0.2945945945945946,0.0081081081081081,717178006.5086138,197428698.7147891,519749307.7938246,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4542842000009841
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,15,20260831,fixed_nominal,long,shock,True,2300449780.488496,712951616.0964262,1587498164.3920696,0.3099183568984637,0.6805929919137467,0.0431266846361186,810702410.0336541,401332616.19657946,409369793.8370746,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.226575499997125
